Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Rainmatter Capital,https://www.crunchbase.com/organization/rainmatter-capital,Growing,Private,For Profit,1-10,,Corporate Round,2023-08-10,Incubator,2016-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Seed",1,1,,1000000000,INR,12077274,1000000000,INR,12077274,Corporate Round,1000000000,INR,12077274,1000000000,INR,12077274,Zerodha,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Financial Services, FinTech, Venture Capital","Bengalooru, Karnataka, India",104
Safe Superintelligence,https://www.crunchbase.com/organization/safe-superintelligence,,Private,For Profit,,,Series A,2024-09-04,,2024-06-20,day,Active,,,3,1,Early Stage Venture,1000000000,USD,1000000000,1000000000,USD,1000000000,Series A,1000000000,USD,1000000000,1000000000,USD,1000000000,"Andreessen Horowitz, Sequoia Capital, SV Angel, DST Global, NFDG Ventures",5,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Information Technology, Software, Software Engineering","Palo Alto, California, United States",
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,,Private,Non-profit,10001+,,Grant,2017-08-15,Entrepreneurship Program,1887-01-01,day,Active,,"Grant, Seed",1,1,,5000000,USD,5000000,,,,,,,,5000000,USD,5000000,,,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Bethesda, Maryland, United States",898
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Growing,Private,For Profit,101-250,,Seed,2017-07-02,Venture Capital,2004-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",2,1,Seed,1500000,USD,1500000,1500000,USD,1500000,Seed,1500000,USD,1500000,1500000,USD,1500000,Raj Sareen,1,"San Francisco Bay Area, Silicon Valley, West Coast","Financial Services, Lending and Investments",,Medium,,,,"Finance, Financial Services, Venture Capital","Menlo Park, California, United States","1,228"
Hashed,https://www.crunchbase.com/organization/hashed-f96b,,Private,For Profit,11-50,,Series A,2022-02-04,Venture Capital,2017-09-01,month,Active,,"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",6,1,Early Stage Venture,26000000000,KRW,21695775,26000000000,KRW,21695775,Series A,26000000000,KRW,21695775,26000000000,KRW,21695775,SK Networks,1,"San Francisco Bay Area, West Coast, Western US","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",,,,,,"Blockchain, Cryptocurrency, Internet","San Francisco, California, United States",233
Australian Renewable Energy Agency,https://www.crunchbase.com/organization/australian-renewable-energy-agency,Growing,Private,For Profit,51-100,,Undisclosed,2022-01-10,Government Office,2012-01-01,year,Active,,,,1,,40000000,USD,40000000,40000000,USD,40000000,Undisclosed,40000000,USD,40000000,40000000,USD,40000000,,,"Asia-Pacific (APAC), Australasia","Energy, Government and Military, Sustainability",,Medium,,,,"Energy, Energy Efficiency, Government, Renewable Energy","Canberra, Australian Capital Territory, Australia",419
Parry Labs,https://www.crunchbase.com/organization/parry-labs,Growing,Private,For Profit,251-500,,Series A,2024-08-28,,2015-01-01,year,Active,,,2,1,Early Stage Venture,80000000,USD,80000000,80000000,USD,80000000,Series A,80000000,USD,80000000,80000000,USD,80000000,"3Wire Partners, Teamworthy Ventures, True Ventures, Capitol Meridian Partners",4,"Washington DC Metro Area, East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software",,Medium,,,,"Artificial Intelligence (AI), Government, GovTech, Information Technology, National Security, Software","Alexandria, Virginia, United States",
Walgreens,https://www.crunchbase.com/organization/walgreens,Not Growing,Private,For Profit,10001+,Made Acquisitions,Grant,2024-07-23,,1901-01-01,year,Active,,,1,1,,25000000,USD,25000000,,,,,,,,25000000,USD,25000000,Biomedical Advanced Research and Development Authority (BARDA),1,"Greater Chicago Area, Great Lakes, Midwestern US","Commerce and Shopping, Consumer Goods, Health Care",,High,,,,"Consumer Goods, Health Care, Pharmaceutical, Retail","Deerfield, Illinois, United States",6
Export Development Canada,https://www.crunchbase.com/organization/export-development-canada,Growing,Private,For Profit,1001-5000,,Debt Financing,2024-06-12,Government Office,1944-11-01,day,Active,,"Debt, Private Equity",,1,,1000000000,USD,1000000000,,,,,,,,1000000000,USD,1000000000,,,Great Lakes,"Commerce and Shopping, Financial Services, Government and Military, Lending and Investments, Professional Services",,High,,,,"Finance, Government, Insurance, Retail, Risk Management, Venture Capital","Ottawa, Ontario, Canada",213
UST,https://www.crunchbase.com/organization/ust,,Private,For Profit,10001+,Made Acquisitions,Private Equity,2018-06-27,"Corporate Venture Capital, Private Equity Firm",1999-01-01,year,Active,,,1,1,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Temasek Holdings,1,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Professional Services",,,,,,"Consulting, Information Services, Information Technology","Aliso Viejo, California, United States",18
Cosm,https://www.crunchbase.com/organization/cosm,,Private,For Profit,51-100,Made Acquisitions,Private Equity,2024-07-31,,2020-01-01,year,Active,,,1,1,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Private Equity,250000000,USD,250000000,250000000,USD,250000000,"Baillie Gifford, Avenue Capital Group, Mirasol Capital, Rock Ventures, Bolt Ventures",5,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Media and Entertainment, Software, Video",,,,,,"Content, Information Technology, Media and Entertainment, Software, Video","Los Angeles, California, United States",1
KfW,https://www.crunchbase.com/organization/kfw,,Private,For Profit,5001-10000,,Debt Financing,2024-08-29,"Government Office, Investment Bank, Venture Capital",1948-12-16,day,Active,,"Debt, Early Stage Venture, Late Stage Venture, Seed",,1,,50000000,EUR,55400987,,,,,,,,50000000,EUR,55400987,"DekaBank, DZ BANK, Union Investment",3,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments",,,,,,"Banking, Finance, Financial Services","Frankfurt, Hessen, Germany",188
Fonds de solidarité FTQ,https://www.crunchbase.com/organization/fonds-de-solidarit-ftq,Growing,Private,For Profit,251-500,Made Acquisitions,Debt Financing,2022-06-23,Venture Capital,1983-06-23,day,Active,,"Debt, Early Stage Venture, Late Stage Venture, Non Equity Assistance, Post-Ipo, Seed, Venture",,1,,100000000,CAD,76981642,,,,,,,,100000000,CAD,76981642,Fiera Capital,1,,"Financial Services, Lending and Investments, Mobile",,Medium,,,,"Angel Investment, Finance, Financial Services, Impact Investing, Mobile, Venture Capital","Montréal, Quebec, Canada",302
TENYX,https://www.crunchbase.com/organization/tenyx-inc,Growing,Private,For Profit,11-50,Was Acquired,Seed,2022-05-10,,2021-06-15,day,Active,,,3,1,M&A,15000000,USD,15000000,15000000,USD,15000000,Seed,15000000,USD,15000000,15000000,USD,15000000,"Point72 Ventures, Cota Capital, AME Cloud Ventures, Morado Ventures, Pathbreaker Ventures",11,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,Artificial Intelligence (AI),"Los Altos, California, United States",
NEOM,https://www.crunchbase.com/organization/neom-585e,Stable,Private,Non-profit,1001-5000,,Debt Financing,2024-04-28,Government Office,2019-01-01,year,Active,,,1,1,,10000000000,SAR,2667340259,,,,,,,,10000000000,SAR,2667340259,"Al-Rajhi Bank, Alinma Bank, The Saudi Investment Bank, Bank Aljazira, Arab National Bank",6,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Government and Military, Other, Privacy and Security, Social Impact",,Low,,,,"Government, Law Enforcement, Non Profit","Riyadh, Ar Riyad, Saudi Arabia",6
Bridge,https://www.crunchbase.com/organization/bridge-05d0,,Private,For Profit,1-10,,Series A,2024-08-29,,2022-01-01,year,Active,,,,1,Early Stage Venture,58000000,USD,58000000,58000000,USD,58000000,Series A,58000000,USD,58000000,58000000,USD,58000000,"Sequoia, Ribbit Capital, Index Ventures, Haun Ventures",4,Southern US,"Financial Services, Software",,,,,,"Developer Tools, Financial Services, FinTech, Software","San Antonio, Texas, United States",
Circana,https://www.crunchbase.com/organization/circana,Growing,Private,For Profit,5001-10000,Made Acquisitions,Undisclosed,2024-04-23,,1966-01-01,year,Active,,,,1,,1200000000,USD,1200000000,1200000000,USD,1200000000,Undisclosed,1200000000,USD,1200000000,1200000000,USD,1200000000,Vestar Capital Partners,1,"Greater Chicago Area, Great Lakes, Midwestern US","Data and Analytics, Design",,High,,,,Market Research,"Chicago, Illinois, United States",
ConnectWise,https://www.crunchbase.com/organization/connectwise,Growing,Private,For Profit,1001-5000,"Made Acquisitions, Was Acquired",Seed,2019-07-01,,1982-01-01,year,Active,,,2,1,M&A,585000,USD,585000,585000,USD,585000,Seed,585000,USD,585000,585000,USD,585000,,,"Tampa Bay Area, East Coast, Southern US","Information Technology, Internet Services, Other, Professional Services, Software",,High,,,,"B2B, Cloud Data Services, Consulting, Information Technology, Legal, SaaS, Software","Tampa, Florida, United States",1
Orange DAO,https://www.crunchbase.com/organization/orange-fund,,Private,For Profit,1001-5000,,Venture - Series Unknown,2022-08-23,"Accelerator, Venture Capital",2021-01-01,year,Active,,"Early Stage Venture, Private Equity, Seed, Venture",1,1,,80000000,USD,80000000,80000000,USD,80000000,Venture - Series Unknown,80000000,USD,80000000,80000000,USD,80000000,"NEAR, Algorand Foundation",2,"San Francisco Bay Area, West Coast, Western US","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",,,,,,"Cryptocurrency, Venture Capital","San Francisco, California, United States",215
Slingshot AI,https://www.crunchbase.com/organization/slingshot-ai,,Private,For Profit,1-10,,Seed,2024-08-20,,2022-01-01,year,Active,,,,1,Seed,30000000,USD,30000000,30000000,USD,30000000,Seed,30000000,USD,30000000,30000000,USD,30000000,"Andreessen Horowitz, Felicis, Gokul Rajaram, Arjun Sethi, BoxGroup",12,"Greater New York Area, East Coast, Northeastern US","Information Technology, Internet Services, Software",,,,,,"Cloud Data Services, Software, Web Development","New York, New York, United States",
DEFCON AI,https://www.crunchbase.com/organization/defcon-ai,,Private,,11-50,,Seed,2024-08-20,,2022-01-01,year,Active,,,1,1,Seed,44000000,USD,44000000,44000000,USD,44000000,Seed,44000000,USD,44000000,44000000,USD,44000000,"Bessemer Venture Partners, Red Cell Partners, Fifth Growth Fund",3,"Washington DC Metro Area, East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,,,,"Artificial Intelligence (AI), Logistics, Supply Chain Management, Transportation","Mclean, Virginia, United States",
Infinite Reality,https://www.crunchbase.com/organization/infinite-reality-d5f5,,Private,For Profit,101-250,Made Acquisitions,Venture - Series Unknown,2024-07-09,,2019-01-01,year,Active,,,3,1,,350000000,USD,350000000,350000000,USD,350000000,Venture - Series Unknown,350000000,USD,350000000,350000000,USD,350000000,,,"East Coast, New England, Northeastern US","Blockchain and Cryptocurrency, Internet Services, Media and Entertainment, Software",,,,,,"Media and Entertainment, Metaverse, Web3","Norwalk, Connecticut, United States",
Skild AI,https://www.crunchbase.com/organization/skild-ai,Growing,Private,For Profit,11-50,,Series A,2024-07-09,,2023-01-01,year,Active,,,2,1,Early Stage Venture,300000000,USD,300000000,300000000,USD,300000000,Series A,300000000,USD,300000000,300000000,USD,300000000,"Amazon, SoftBank, General Catalyst, Sequoia Capital, Menlo Ventures",14,"Great Lakes, Northeastern US","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Information Technology, Robotics","Pittsburgh, Pennsylvania, United States",
Anker,https://www.crunchbase.com/organization/anker-2,,Private,For Profit,51-100,,Product Crowdfunding,2024-01-09,,2009-01-01,year,Active,,,1,1,,5813434,USD,5813434,,,,,,,,5813434,USD,5813434,Jumei,,"San Francisco Bay Area, Silicon Valley, West Coast","Commerce and Shopping, Consumer Electronics, Hardware",,,,,,"Consumer Electronics, Electronics, Retail","Santa Clara, California, United States",
Asda,https://www.crunchbase.com/organization/asda,Growing,Private,For Profit,10001+,Was Acquired,Debt Financing,2024-05-02,,1949-01-01,year,Active,,,3,1,M&A,1100000000,GBP,1379374341,,,,,,,,1100000000,GBP,1379374341,TDR Capital,,"Europe, Middle East, and Africa (EMEA)",Commerce and Shopping,,High,,,,Retail,"Humber, Herefordshire, United Kingdom",1
Rep AI,https://www.crunchbase.com/organization/voicefront,,Private,For Profit,11-50,,Series A,2024-08-27,,2019-01-01,day,Active,,,2,1,Early Stage Venture,8200000,USD,8200000,8200000,USD,8200000,Series A,8200000,USD,8200000,8200000,USD,8200000,"Flashpoint, Osage Venture Partners, Horizon Capital",3,"Greater Philadelphia Area, East Coast, Southern US","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), E-Commerce, Machine Learning, Marketing, Sales, Software","Middletown, Delaware, United States",
DecoverAI,https://www.crunchbase.com/organization/decoverai,Growing,Private,For Profit,11-50,,Seed,2024-07-30,,2024-04-04,day,Active,,,3,1,Seed,2000000,USD,2000000,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,Leo Capital,1,"Washington DC Metro Area, Southern US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Information Technology, Legal Tech, Software","Washington, District of Columbia, United States",
Elm,https://www.crunchbase.com/organization/elm-a940,,Private,For Profit,1001-5000,Made Acquisitions,Debt Financing,2023-09-11,,1986-01-01,year,Active,,,,1,,500000000,SAR,133313887,,,,,,,,500000000,SAR,133313887,Al-Rajhi Bank,1,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",,,,,,"Information Services, Information Technology, Predictive Analytics, Software","Riyadh, Ar Riyad, Saudi Arabia",17
Fortum,https://www.crunchbase.com/organization/fortum,,Private,For Profit,5001-10000,Made Acquisitions,Post-IPO Debt,2023-05-17,,1998-01-01,year,Active,,,,1,,1150000000,EUR,1246369272,,,,,,,,1150000000,EUR,1246369272,,,"European Union (EU), Nordic Countries, Scandinavia","Energy, Sustainability",,,,,,"Clean Energy, Energy, Energy Management, Renewable Energy","Espoo, Southern Finland, Finland",4
OPSWAT,https://www.crunchbase.com/organization/opswat,Growing,Private,For Profit,501-1000,Made Acquisitions,Private Equity,2021-03-31,,2002-01-01,year,Active,,,1,1,Private Equity,125000000,USD,125000000,125000000,USD,125000000,Private Equity,125000000,USD,125000000,125000000,USD,125000000,Brighton Park Capital,1,"Tampa Bay Area, East Coast, Southern US","Information Technology, Privacy and Security, Software",,,,,,"Cyber Security, Developer APIs, Enterprise Software, Information Technology, Software","Tampa, Florida, United States",
PenFed Credit Union,https://www.crunchbase.com/organization/pentagon-federal-credit-union,Growing,Private,For Profit,1001-5000,Made Acquisitions,Debt Financing,2024-08-29,,1935-01-01,year,Active,,,,1,,447400000,USD,447400000,,,,,,,,447400000,USD,447400000,,,"Washington DC Metro Area, East Coast, Southern US","Financial Services, Lending and Investments",,High,,,,"Banking, Financial Services","Alexandria, Virginia, United States",
Portex,https://www.crunchbase.com/organization/portex-dde7,,Private,For Profit,1-10,,Seed,2024-09-05,,2021-01-01,year,Active,,,,1,Seed,6250000,USD,6250000,6250000,USD,6250000,Seed,6250000,USD,6250000,6250000,USD,6250000,"Susa Ventures, Cowboy Ventures, Base10 Partners, Footwork",4,"San Francisco Bay Area, Silicon Valley, West Coast",Transportation,,,,,,"Delivery Service, Freight Service, Logistics","Hayward, California, United States",
ZUS Coffee,https://www.crunchbase.com/organization/zus-coffee,Growing,Private,For Profit,1001-5000,,Venture - Series Unknown,2024-09-10,,2019-01-01,year,Active,,,2,1,,57000000,USD,57000000,57000000,USD,57000000,Venture - Series Unknown,57000000,USD,57000000,57000000,USD,57000000,"KWAP, KV Asia Capital, Fastrata Buana (Kapal Api Group)",3,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Food and Beverage, Transportation",,Medium,,,,"Coffee, Food and Beverage, Food Delivery","Petaling, Kuala Lumpur, Malaysia",
AmeriCorps Public Allies,https://www.crunchbase.com/organization/americorps,,Private,For Profit,501-1000,,Grant,2024-01-09,Government Office,1964-01-01,year,Active,,Grant,,1,,2500000,USD,2500000,,,,,,,,2500000,USD,2500000,Office of Juvenile Justice and Delinquency Prevention (OJJDP),1,"Washington DC Metro Area, Southern US",,,,,,,,"Washington, District of Columbia, United States",120
WSPN,https://www.crunchbase.com/organization/wspn,,Private,For Profit,11-50,,Seed,2024-08-16,,2023-01-01,year,Active,,,1,1,Seed,30000000,USD,30000000,30000000,USD,30000000,Seed,30000000,USD,30000000,30000000,USD,30000000,"Foresight Ventures, Folius Ventures, Yunqi Partners, Redpoint Ventures China, Generative Ventures",6,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,,,"Blockchain, Cryptocurrency, Financial Services, FinTech, Payments","Singapore, Central Region, Singapore",
Candid Therapeutics,https://www.crunchbase.com/organization/candid-therapeutics,,Private,For Profit,11-50,Made Acquisitions,Series A,2024-09-09,,2024-01-01,year,Active,,,,1,Early Stage Venture,370000000,USD,370000000,370000000,USD,370000000,Series A,370000000,USD,370000000,370000000,USD,370000000,"Fidelity, Qiming Venture Partners, Franklin Templeton, Polaris Partners, OrbiMed",19,"Greater San Diego Area, West Coast, Western US","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",,,,,,"Biotechnology, Product Research, Therapeutics","San Diego, California, United States",
Cognosys,https://www.crunchbase.com/organization/cognosys-815a,,Private,For Profit,1-10,,Seed,2023-05-25,,2023-04-20,day,Active,,,2,1,Seed,2000000,USD,2000000,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,"Google Ventures, Amjad Masad, Spencer Kimball, Aidan Gomez, Untapped Capital",7,,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Intelligent Systems, Web Apps","Vancouver, British Columbia, Canada",
Asian Infrastructure Investment Bank,https://www.crunchbase.com/organization/asian-infrastructure-investment-bank,Growing,Private,For Profit,251-500,,Debt Financing,2024-08-23,Investment Bank,2016-01-01,month,Active,,,,1,,300000000,USD,300000000,,,,,,,,300000000,USD,300000000,World Bank,,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Other, Sustainability, Transportation",,High,,,,"Banking, Financial Services, Infrastructure, Insurance, Procurement, Sustainability, Venture Capital","Beijing, Beijing, China",10
Deerfield,https://www.crunchbase.com/organization/deerfield,,Private,For Profit,101-250,Made Acquisitions,Grant,2023-03-29,Hedge Fund,1994-01-01,year,Active,,"Debt, Early Stage Venture",1,1,,25000000,USD,25000000,,,,,,,,25000000,USD,25000000,Empire State Development,1,"Greater New York Area, East Coast, Northeastern US","Financial Services, Lending and Investments",,,,,,"Financial Services, Hedge Funds, Impact Investing, Venture Capital","New York, New York, United States",273
Agency AI,https://www.crunchbase.com/organization/agentops,,Private,For Profit,1-10,,Pre-Seed,2024-08-28,,2023-10-01,month,Active,,,3,1,Seed,2600000,USD,2600000,2600000,USD,2600000,Pre-Seed,2600000,USD,2600000,2600000,USD,2600000,"Afore Capital, 645 Ventures",2,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Data Management, Generative AI","San Francisco, California, United States",
Red Lobster,https://www.crunchbase.com/organization/red-lobster,Not Growing,Private,For Profit,10001+,Was Acquired,Undisclosed,2016-10-11,,1968-01-01,year,Active,,,2,1,M&A,575000001,USD,575000001,575000001,USD,575000001,Undisclosed,575000001,USD,575000001,575000001,USD,575000001,Thai Union Group,1,"Greater Miami Area, East Coast, Southern US",Food and Beverage,,High,,,,"Restaurants, Seafood","Miami, Florida, United States",
Borealis Biosciences,https://www.crunchbase.com/organization/borealis-biosciences,,Private,For Profit,11-50,,Series A,2024-08-22,,2024-01-01,year,Active,,,1,1,Early Stage Venture,150000000,USD,150000000,150000000,USD,150000000,Series A,150000000,USD,150000000,150000000,USD,150000000,"Novartis, Versant Ventures",2,,"Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Life Science, Medical","Vancouver, British Columbia, Canada",
