Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Xaira Therapeutics,https://www.crunchbase.com/organization/xaira-therapeutics,Growing,Private,For Profit,51-100,,Series A,2024-04-23,,2024-01-01,year,Active,,,6,1,Early Stage Venture,1000000000,USD,1000000000,1000000000,USD,1000000000,Series A,1000000000,USD,1000000000,1000000000,USD,1000000000,"Sequoia Capital, Menlo Ventures, New Enterprise Associates, Lightspeed Venture Partners, F-Prime Capital",13,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","San Francisco, California, United States",
Navigator Medicines,https://www.crunchbase.com/organization/navigator-medicines,,Private,,,,Series A,2024-08-27,,2024-01-01,year,Active,,,,1,Early Stage Venture,100000000,USD,100000000,100000000,USD,100000000,Series A,100000000,USD,100000000,100000000,USD,100000000,"RA Capital Management, Forbion Capital Partners",2,"Greater New York Area, East Coast, Northeastern US","Biotechnology, Science and Engineering",,,,,,"Biotechnology, Life Science","Scotch Plains, New Jersey, United States",
TD Bank,https://www.crunchbase.com/organization/td-bank,Not Growing,Private,For Profit,10001+,Made Acquisitions,Grant,2023-10-03,Investment Bank,1852-01-01,year,Active,,"Debt, Post-Ipo",,1,,65000000,USD,65000000,,,,,,,,65000000,USD,65000000,U.S. Department of the Treasury,1,"Greater Philadelphia Area, East Coast, Southern US","Financial Services, Lending and Investments",,High,,,,"Banking, Finance, Financial Services, Wealth Management","Wilmington, Delaware, United States",41
Viggle AI,https://www.crunchbase.com/organization/viggle-ai,,Private,,11-50,,Series A,2024-08-26,,2022-01-01,year,Active,,,,1,Early Stage Venture,26000000,CAD,19244106,26000000,CAD,19244106,Series A,26000000,CAD,19244106,26000000,CAD,19244106,"Andreessen Horowitz, Two Small Fish Ventures",2,Great Lakes,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,Artificial Intelligence (AI),"Toronto, Ontario, Canada",
Subway,https://www.crunchbase.com/organization/subway,Growing,Private,For Profit,10001+,"Made Acquisitions, Was Acquired",Debt Financing,2024-05-31,,1965-01-01,year,Active,,,2,1,M&A,3400000000,USD,3400000000,,,,,,,,3400000000,USD,3400000000,,,Great Lakes,"Food and Beverage, Other",,High,,,,"Food and Beverage, Food Processing, Franchise, Restaurants","Lasalle, Ontario, Canada",
Napkin AI,https://www.crunchbase.com/organization/napkin-ai,,Private,For Profit,1-10,,Seed,2024-08-07,,2021-10-01,month,Active,,,2,1,Seed,10000000,USD,10000000,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,"Accel, CRV",2,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Design, Software",,,,,,"Generative AI, Graphic Design, Presentation Software, Productivity Tools, Software","Los Altos, California, United States",
CHANEL,https://www.crunchbase.com/organization/chanel,Growing,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2024-07-30,,1883-01-01,year,Active,,,1,1,,700000000,EUR,757163579,,,,,,,,700000000,EUR,757163579,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",,High,,,,"Apparel, Fashion, Jewelry, Retail","Neuilly-sur-seine, Ile-de-France, France",11
LongHash Ventures,https://www.crunchbase.com/organization/longhash,Growing,Private,For Profit,11-50,,Venture - Series Unknown,2019-03-20,"Accelerator, Venture Capital",2018-01-01,year,Active,,"Early Stage Venture, Grant, Seed, Venture",1,1,,10000000,CNY,1493764,10000000,CNY,1493764,Venture - Series Unknown,10000000,CNY,1493764,10000000,CNY,1493764,"Fenbushi Capital, Hashkey Exchange",2,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Financial Services, Information Technology, Internet Services",,Medium,,,,"Financial Services, Information Technology, Internet","Singapore, Central Region, Singapore",119
Alchemy Pay,https://www.crunchbase.com/organization/alchemy-pay,Growing,Private,For Profit,11-50,,Venture - Series Unknown,2023-04-03,,2018-01-01,year,Active,,,4,1,,10000000,USD,10000000,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,10000000,USD,10000000,"DWF Labs, Oasis Capital",2,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,Medium,,,,"Blockchain, Cryptocurrency, Payments","Singapore, Central Region, Singapore",3
Cesium,https://www.crunchbase.com/organization/cesium,,Private,For Profit,11-50,Was Acquired,Series A,2019-07-09,,2018-01-01,year,Active,,,1,1,M&A,5000000,USD,5000000,5000000,USD,5000000,Series A,5000000,USD,5000000,5000000,USD,5000000,Falcon Global Capital,1,"Greater Philadelphia Area, Great Lakes, Northeastern US","Data and Analytics, Hardware, Navigation and Mapping, Software",,,,,,"3D Technology, Analytics, Geospatial, Software","Philadelphia, Pennsylvania, United States",
Plus500,https://www.crunchbase.com/organization/plus500,Growing,Private,For Profit,501-1000,Made Acquisitions,Post-IPO Equity,2018-09-25,,2008-01-01,year,Active,,,1,1,,152000000,USD,152000000,152000000,USD,152000000,Post-IPO Equity,152000000,USD,152000000,152000000,USD,152000000,BlackRock,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Financial Services, Lending and Investments, Mobile, Payments, Software",,High,,,,"Finance, Financial Services, FinTech, Mobile Payments, Trading Platform","Tel Aviv, Tel Aviv, Israel",
