Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
EGenesis,https://www.crunchbase.com/organization/egenesis,Growing,Private,For Profit,101-250,Made Acquisitions,Series D,2024-09-04,,2014-01-01,year,Active,Yes,,3,5,Late Stage Venture,191000000,USD,191000000,191000000,USD,191000000,Series D,454000000,USD,454000000,456000000,USD,456000000,"Khosla Ventures, DaVita, Fresenius Medical Care, Polaris Partners, Invus",31,"Greater Boston Area, East Coast, New England","Biotechnology, Health Care, Science and Engineering",$500M to $1B,,,,,"Biopharma, Biotechnology, Genetics, Life Science, Medical","Cambridge, Massachusetts, United States",
OakNorth,https://www.crunchbase.com/organization/oaknorth,,Private,For Profit,251-500,Made Acquisitions,Non-equity Assistance,2021-06-02,,2005-01-01,year,Active,Yes,,2,9,Private Equity,,,,440000000,USD,440000000,Private Equity,1041034147,USD,1041034147,1041034147,USD,1041034147,"Sammaan Capital, EDBI, GIC, The FIS FinTech Accelerator in Partnership with The Venture Center, Future Fifty",11,"Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments",,,,,,"Banking, Finance, Financial Services, Lending","Manchester, Manchester, United Kingdom",33
Acronis,https://www.crunchbase.com/organization/acronis,Growing,Private,For Profit,1001-5000,"Made Acquisitions, Was Acquired",Private Equity,2022-07-29,,2003-01-01,year,Active,Yes,,5,4,M&A,250000000,USD,250000000,250000000,USD,250000000,Private Equity,658000000,USD,658000000,658000000,USD,658000000,"BlackRock, Goldman Sachs, Insight Partners, GS Growth, CVC Capital Partners",7,"Europe, Middle East, and Africa (EMEA)","Information Technology, Internet Services, Privacy and Security, Software",,,,,,"Cloud Data Services, Cloud Security, Cyber Security, Information Technology, Software","Schaffhausen, Schaffhausen, Switzerland",
Loft Orbital,https://www.crunchbase.com/organization/loft-orbital-solutions-inc,Growing,Private,For Profit,501-1000,,Series B,2021-11-07,,2017-01-01,year,Active,Yes,,3,3,Early Stage Venture,140000000,USD,140000000,140000000,USD,140000000,Series B,156200000,USD,156200000,156200000,USD,156200000,"BlackRock, Alumni Ventures, MDI Ventures, Soundproof Ventures, Foundation Capital",21,"San Francisco Bay Area, West Coast, Western US","Hardware, Science and Engineering",$500M to $1B,,,,,"Aerospace, Satellite Communication","San Francisco, California, United States",1
Lime,https://www.crunchbase.com/organization/limebike,,Private,For Profit,501-1000,Made Acquisitions,Debt Financing,2021-11-05,,2017-01-01,month,Active,Yes,,4,11,Late Stage Venture,105000000,USD,105000000,170000000,USD,170000000,Series D,935000000,USD,935000000,1458000000,USD,1458000000,"Fidelity, Uber, Andreessen Horowitz, Alphabet, Google Ventures",64,"San Francisco Bay Area, West Coast, Western US","Apps, Mobile, Software, Transportation",$1B to $10B,,,,,"Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation","San Francisco, California, United States",
GoCardless,https://www.crunchbase.com/organization/gocardless,Not Growing,Private,For Profit,501-1000,Made Acquisitions,Venture - Series Unknown,2022-07-26,,2011-01-01,year,Active,Yes,Venture,3,11,,,,,,,,Venture - Series Unknown,529300000,USD,529300000,529300000,USD,529300000,"Accel, Y Combinator, Google Ventures, Permira, Balderton Capital",17,"Europe, Middle East, and Africa (EMEA)","Financial Services, Payments",,High,,,,"Financial Services, FinTech, Payments","London, England, United Kingdom",
Blue Origin,https://www.crunchbase.com/organization/blue-origin,Growing,Private,For Profit,10001+,Made Acquisitions,Secondary Market,2024-02-20,,2000-09-08,day,Active,Yes,,1,5,,,,,18000000,USD,18000000,Undisclosed,18000000,USD,18000000,185350000,USD,185350000,"NASA, E1 Ventures, United States Space Force",3,"Greater Seattle Area, West Coast, Western US","Energy, Government and Military, Manufacturing, Science and Engineering, Sustainability",,Medium,,,,"Aerospace, Manufacturing, National Security, Renewable Energy","Kent, Washington, United States",
Ripple,https://www.crunchbase.com/organization/ripple-labs,,Private,For Profit,501-1000,Made Acquisitions,Series B,2021-08-21,Venture Capital,2012-01-01,year,Active,Yes,,4,14,Early Stage Venture,,,,,,,Series B,293800000,USD,293800000,293800000,USD,293800000,"Standard Chartered Bank, Accenture, Andreessen Horowitz, Seagate Technology, Google Ventures",47,"San Francisco Bay Area, West Coast, Western US","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",$10B+,,,,,"Blockchain, Cryptocurrency, FinTech, Foreign Exchange Trading, Internet, Payments, Web3","San Francisco, California, United States",37
Bloomreach,https://www.crunchbase.com/organization/bloomreach,Growing,Private,For Profit,501-1000,Made Acquisitions,Debt Financing,2022-10-04,,2009-03-01,month,Active,Yes,,3,7,Late Stage Venture,30000000,USD,30000000,175000000,USD,175000000,Series F,422000000,USD,422000000,452000000,USD,452000000,"JP Morgan Chase, Sixth Street, Lightspeed Venture Partners, New Enterprise Associates, Goldman Sachs Asset Management",10,"San Francisco Bay Area, Silicon Valley, West Coast","Information Technology, Sales and Marketing, Software",$1B to $10B,Medium,,,,"Information Technology, Marketing Automation, Software, Web Development","Mountain View, California, United States",
Knowde,https://www.crunchbase.com/organization/knowde,Growing,Private,For Profit,101-250,,Series C,2024-08-01,,2017-01-01,year,Active,Yes,,4,6,Late Stage Venture,60000000,USD,60000000,60000000,USD,60000000,Series C,150800000,USD,150800000,150800000,USD,150800000,"Alumni Ventures, Sequoia Capital, Point72 Ventures, K5 Global, 8VC",17,"San Francisco Bay Area, Silicon Valley, West Coast","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing",,,,,,"Advertising, E-Commerce, Internet, Marketing","San Jose, California, United States",
