Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
aisidnd,https://www.crunchbase.com/organization/private-cash,,Private,,,,Undisclosed,1509-01-01,,,,Active,,,,1,,,,,,,,Undisclosed,,,,,,,,,,,,,,,,,,
NiftyHMS - Healthcare Solution,https://www.crunchbase.com/organization/niftyhms-healthcare-software,,Private,For Profit,11-50,,Seed,1901-01-31,,2022-06-16,day,Active,,,,1,Seed,,,,,,,Seed,,,,,,,,,Asia-Pacific (APAC),"Health Care, Software",,,,,,"Health Care, Hospital, Medical, Software","Ahmedabad, Gujarat, India",
CINEVERSE ID,https://www.crunchbase.com/organization/cineverse-id,,Private,For Profit,1-10,,Angel,1901-02-14,,2020-05-01,day,Active,,,1,1,Seed,25000,USD,25000,25000,USD,25000,Angel,25000,USD,25000,25000,USD,25000,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Content and Publishing, Media and Entertainment, Video",,,,,,"Film, Film Distribution, Media and Entertainment, News","Tangerang, Jawa Barat, Indonesia",
fo,https://www.crunchbase.com/organization/intelligorithm,,Private,For Profit,,,Grant,1901-03-01,,,,Active,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nala Berhad,https://www.crunchbase.com/organization/nala-berhad,,Private,For Profit,101-250,,Angel,1901-09-01,,2020-12-03,day,Active,,,,1,Seed,2799680,MYR,737796,2799680,MYR,737796,Angel,2799680,MYR,737796,2799680,MYR,737796,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Professional Services,,,,,,Consulting,"Skudai, Johor, Malaysia",
Villatech Lab,https://www.crunchbase.com/organization/villatech-lab,,Private,For Profit,51-100,,Seed,1902-02-02,,1901-01-03,day,Active,,,,1,Seed,10000,USD,10000,10000,USD,10000,Seed,10000,USD,10000,10000,USD,10000,,,"Europe, Middle East, and Africa (EMEA)",Information Technology,,,,,,Information Technology,"Nairobi, Nairobi Area, Kenya",
rollo,https://www.crunchbase.com/organization/rollo,,Private,For Profit,,,Seed,1902-08-28,,,,Active,,,,1,Seed,,,,,,,Seed,,,,,,,,,Western US,,,,,,,,"Las Vegas, Nevada, United States",
Ascent Business Technology,https://www.crunchbase.com/organization/ascent-business-technology-inc,Growing,Private,For Profit,101-250,,Pre-Seed,1904-01-01,,2015-04-21,day,Active,,,1,1,Seed,4000000,USD,4000000,4000000,USD,4000000,Pre-Seed,4000000,USD,4000000,4000000,USD,4000000,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Financial Services, Information Technology, Lending and Investments, Software",,High,,,,"Banking, FinTech, Information Technology, SaaS, Software","Singapore, Central Region, Singapore",
Filmy4wapin,https://www.crunchbase.com/organization/filmy4wapin,,Private,Non-profit,51-100,,Series B,1905-04-10,,1905-03-05,day,Active,,,,1,Early Stage Venture,1000000,USD,1000000,1000000,USD,1000000,Series B,1000000,USD,1000000,1000000,USD,1000000,,,Asia-Pacific (APAC),Sales and Marketing,,,,,,Marketing,"New Delhi, Delhi, India",
Ruang olimpiade,https://www.crunchbase.com/organization/ruang-olimpiade,,Private,For Profit,1-10,,Pre-Seed,1905-05-05,,2023-05-05,day,Active,,,1,1,Seed,4000,USD,4000,4000,USD,4000,Pre-Seed,4000,USD,4000,4000,USD,4000,,,,Education,,,,,,Education,,
