Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
ALUBOF PLUS LTD,https://www.crunchbase.com/organization/alubof-plus-ltd,,Private,For Profit,11-50,,Debt Financing,1905-08-24,,1903-01-22,day,Active,,,,1,,200000,USD,200000,,,,,,,,200000,USD,200000,,,"Europe, Middle East, and Africa (EMEA)",Real Estate,,,,,,Construction,"Kumasi, Ashanti, Ghana",
Tech Apps Inc.,https://www.crunchbase.com/organization/tech-apps-inc,,Private,For Profit,1-10,,Seed,1907-01-01,,2020-01-01,year,Active,,,,1,Seed,1230,USD,1230,1230,USD,1230,Seed,1230,USD,1230,1230,USD,1230,,,"Europe, Middle East, and Africa (EMEA)",,,,,,,,"Kampala, Kampala, Uganda",
Skyrocketbpo,https://www.crunchbase.com/organization/skyrocketbpo,,Private,For Profit,11-50,,Series C,1907-01-14,,2007-01-04,day,Active,,,1,1,Late Stage Venture,15000000,USD,15000000,15000000,USD,15000000,Series C,15000000,USD,15000000,15000000,USD,15000000,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Information Technology, Professional Services, Software",,,,,,"Apps, Consulting, Information Technology, Software","Craiova, Dolj, Romania",
Tyson Foods,https://www.crunchbase.com/organization/tyson-foods,,Private,For Profit,10001+,,Seed,1910-10-06,,1935-01-01,year,Active,,,2,1,Seed,1560658,USD,1560658,1560658,USD,1560658,Seed,1560658,USD,1560658,1560658,USD,1560658,IBM,1,Southern US,"Food and Beverage, Transportation",,,,,,"Catering, Food and Beverage, Food Delivery, Food Processing","Springdale, Arkansas, United States",
Product Revolution Consulting,https://www.crunchbase.com/organization/product-revolution-consulting,,Private,For Profit,1-10,,Debt Financing,1917-07-17,,2017-06-21,day,Closed,,,1,1,,250000,USD,250000,,,,,,,,250000,USD,250000,Daniel O'Leary,1,"Greater San Diego Area, West Coast, Western US","Biotechnology, Consumer Electronics, Financial Services, Hardware, Health Care, Manufacturing, Professional Services, Science and Engineering",,,,,,"Biotechnology, Consulting, Electronics, Finance, Manufacturing, Medical","San Diego, California, United States",
Lestacworld.com - A US Based LLC,https://www.crunchbase.com/organization/lestacworld-com,,Private,For Profit,11-50,,Pre-Seed,1919-01-19,,2016-08-27,day,Active,,,2,1,Seed,50000,USD,50000,50000,USD,50000,Pre-Seed,50000,USD,50000,50000,USD,50000,,,Asia-Pacific (APAC),Travel and Tourism,,,,,,"Hospitality, Tourism, Travel","Pune, Maharashtra, India",
Bambxx,https://www.crunchbase.com/organization/print-financial,,Private,Non-profit,251-500,,Post-IPO Equity,1920-04-01,,,,Active,,,,1,,,,,,,,Post-IPO Equity,,,,,,,,,,,,,,,,,,
Thincrs,https://www.crunchbase.com/organization/thincrs,,Private,For Profit,11-50,,Seed,1921-04-30,,2018-06-14,day,Active,,,1,1,Seed,600000,USD,600000,600000,USD,600000,Seed,600000,USD,600000,600000,USD,600000,,,"San Francisco Bay Area, Silicon Valley, West Coast","Administrative Services, Education, Internet Services, Software",,,,,,"Education, Human Resources, Internet, Software","San Jose, California, United States",
lol LLC,https://www.crunchbase.com/organization/lol-llc,,Private,For Profit,,,Seed,1922-01-02,,,,Active,,,,1,Seed,3560000,USD,3560000,3560000,USD,3560000,Seed,3560000,USD,3560000,3560000,USD,3560000,,,,,,,,,,,,
Verus IA,https://www.crunchbase.com/organization/verus-ia,,Private,For Profit,1-10,,Series A,1922-02-04,,1921-02-03,day,Active,,,,1,Early Stage Venture,350000,USD,350000,350000,USD,350000,Series A,350000,USD,350000,350000,USD,350000,,,,,,,,,,,,
Axpert Media,https://www.crunchbase.com/organization/axpert-media,,Private,For Profit,1-10,,Private Equity,1922-03-31,,1922-01-01,year,Active,,,2,1,Private Equity,300000,INR,7053,300000,INR,7053,Private Equity,300000,INR,7053,300000,INR,7053,,,Asia-Pacific (APAC),,,,,,,,"Thane, Maharashtra, India",
We Are Movers,https://www.crunchbase.com/organization/we-are-movers,,Private,For Profit,1-10,,Pre-Seed,1923-05-29,,2020-09-13,day,Active,,,,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"Europe, Middle East, and Africa (EMEA)",,,,,,,,"London, England, United Kingdom",
XpertHealth,https://www.crunchbase.com/organization/xperthealth,,Private,For Profit,11-50,,Pre-Seed,1924-01-24,,2016-01-01,year,Active,,,2,1,Seed,100000,EUR,117163,100000,EUR,117163,Pre-Seed,100000,EUR,117163,100000,EUR,117163,imec.istart,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Health Care, Professional Services",,,,,,"Consulting, Electronic Health Record (EHR), Health Care","Amsterdam, Noord-Holland, The Netherlands",
A.O.G. Corp.,https://www.crunchbase.com/organization/a-o-g-corp,,Private,For Profit,,Was Acquired,Undisclosed,1945-01-01,,1944-01-01,year,Active,,,,1,M&A,,,,,,,Undisclosed,,,,,,,Stephens Group,1,Southern US,"Energy, Natural Resources",,,,,,"Energy, Oil and Gas","Little Rock, Arkansas, United States",
Stephens Natural Resources,https://www.crunchbase.com/organization/stephens-natural-resources,,Private,For Profit,11-50,,Venture - Series Unknown,1953-01-01,,1953-01-01,year,Active,,,,1,,,,,,,,Venture - Series Unknown,,,,,,,Stephens Group,1,Southern US,"Energy, Natural Resources, Sustainability",,,,,,"Energy, Natural Resources, Oil and Gas","Fort Smith, Arkansas, United States",
Stnb,https://www.crunchbase.com/organization/spotbanks,,Private,For Profit,1-10,,Seed,1954-01-01,,1923-01-01,day,Closed,,,2,1,Seed,1000,USD,1000,1000,USD,1000,Seed,1000,USD,1000,1000,USD,1000,,,,,,,,,,,,
Norsul,https://www.crunchbase.com/organization/norsul,,Private,For Profit,501-1000,,Pre-Seed,1963-01-01,,1962-01-01,year,Active,,,,1,Seed,,,,,,,Pre-Seed,,,,,,,Lorinvest,1,Latin America,"Navigation and Mapping, Science and Engineering, Transportation",,,,,,"Logistics, Marine Technology, Navigation","Rio De Janeiro, Rio de Janeiro, Brazil",
Intercomp,https://www.crunchbase.com/organization/intercomp,,Private,For Profit,51-100,,Undisclosed,1970-12-31,,1968-01-01,year,Active,,,3,1,,549000,USD,549000,549000,USD,549000,Undisclosed,549000,USD,549000,549000,USD,549000,,,"Great Lakes, Midwestern US","Hardware, Manufacturing, Software",,,,,,"Hardware, Manufacturing, Software","Medina, Ohio, United States",
Bennie Holdings,https://www.crunchbase.com/organization/bennie-holdings-ltd,,Private,For Profit,,,Private Equity,1978-01-01,,2008-01-21,day,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)",Real Estate,,,,,,Construction,"Kettering, Nottinghamshire, United Kingdom",
Kronos,https://www.crunchbase.com/organization/kronos-incorporated,,Private,For Profit,1001-5000,"Made Acquisitions, Was Acquired",Venture - Series Unknown,1979-01-01,,1977-10-31,day,Active,,,1,1,M&A,,,,,,,Venture - Series Unknown,,,,,,,"MassVentures, Bessemer Venture Partners",2,"Greater Boston Area, East Coast, New England","Administrative Services, Consumer Electronics, Hardware, Professional Services, Software",,,,,,"Computer, Consulting, Enterprise Software, Human Resources, Software","Chelmsford, Massachusetts, United States",
Dexam International,https://www.crunchbase.com/organization/dexam-international,,Private,For Profit,11-50,,Private Equity,1979-01-01,,1957-01-01,year,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)","Consumer Goods, Food and Beverage",,,,,,"Consumer Goods, Cooking","Midhurst, West Sussex, United Kingdom",
Bridisco Ltd,https://www.crunchbase.com/organization/bridisco-ltd,,Private,For Profit,1-10,,Private Equity,1979-01-01,,1986-06-11,day,Closed,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)",Energy,,,,,,Electrical Distribution,"London, England, United Kingdom",
Foster Yeoman Ltd,https://www.crunchbase.com/organization/foster-yeoman-ltd,,Private,For Profit,51-100,,Private Equity,1979-01-01,,1923-01-01,year,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)",Real Estate,,,,,,Construction,"Frome, Somerset, United Kingdom",
California Energy Commission,https://www.crunchbase.com/organization/california-energy-commission,Growing,Private,For Profit,501-1000,,Venture - Series Unknown,1980-01-01,Government Office,1974-01-01,year,Active,,"Grant, Post-Ipo",,1,,,,,,,,Venture - Series Unknown,,,,,,,Venrock,1,"West Coast, Western US","Energy, Sustainability",,Medium,,,,"Energy, Energy Efficiency, Energy Management","Sacramento, California, United States",83
Centocor Ortho Biotech,https://www.crunchbase.com/organization/ortho-biotech,,Private,For Profit,51-100,"Made Acquisitions, Was Acquired",Seed,1980-01-01,,1979-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"East Coast, Northeastern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Medical, Pharmaceutical","Bridgewater, New Jersey, United States",
VLSI Technology,https://www.crunchbase.com/organization/vlsi-technology,,Private,For Profit,1-10,Was Acquired,Seed,1980-01-01,,1979-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"San Francisco Bay Area, Silicon Valley, West Coast","Consumer Electronics, Hardware, Information Technology, Manufacturing",,,,,,"Computer, Information Technology, Manufacturing","San Jose, California, United States",
Genetics Institute,https://www.crunchbase.com/organization/genetics-institute,,Private,For Profit,10001+,Was Acquired,Seed,1980-01-01,,1980-01-01,year,Active,,,1,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Medical","Gainesville, Florida, United States",
Apollo Computer,https://www.crunchbase.com/organization/apollo-computer,,Private,For Profit,251-500,Was Acquired,Seed,1980-01-01,,1980-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"Greater Boston Area, East Coast, New England","Hardware, Manufacturing, Software",,,,,,"Data Storage, Hardware, Manufacturing","Chelmsford, Massachusetts, United States",
Rockwell International,https://www.crunchbase.com/organization/rockwell-international,,Private,For Profit,11-50,Made Acquisitions,Series A,1980-09-04,,1973-01-01,year,Active,,,,1,Early Stage Venture,,,,,,,Series A,,,,,,,,,"Great Lakes, Midwestern US","Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering",,,,,,"Aerospace, Electronics, Industrial Automation, Information Technology, Manufacturing","Milwaukee, Wisconsin, United States",
Ungermann-Bass,https://www.crunchbase.com/organization/ungermann-bass,,Private,For Profit,501-1000,,Seed,1981-01-01,,1979-01-01,year,Active,,,,1,Seed,,,,,,,Seed,,,,,,,Venrock,1,"San Francisco Bay Area, West Coast, Western US","Consumer Electronics, Hardware, Information Technology",,,,,,"Consumer Electronics, Information Technology","San Francisco, California, United States",
Bethesda Research Laboratories,https://www.crunchbase.com/organization/bethesda-research-laboratories,,Private,For Profit,,,Venture - Series Unknown,1982-01-01,,1975-01-01,year,Active,,,,1,,,,,,,,Venture - Series Unknown,,,,,,,New Enterprise Associates,1,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Medical","Bethesda, Maryland, United States",
Liposome Company,https://www.crunchbase.com/organization/liposome-company,,Private,For Profit,101-250,Was Acquired,Seed,1982-01-01,,1981-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,Asia-Pacific (APAC),"Health Care, Manufacturing",,,,,,"Health Care, Manufacturing, Wellness","Taipei, T'ai-pei, Taiwan",
BDS,https://www.crunchbase.com/organization/bds-incorporated,,Private,For Profit,11-50,,Venture - Series Unknown,1982-03-20,,2001-01-01,year,Active,,,1,1,,,,,,,,Venture - Series Unknown,,,,,,,J. Hunt Holdings,1,"East Coast, Southern US","Consumer Electronics, Government and Military, Hardware, Information Technology, Internet Services, Other, Privacy and Security, Software",,,,,,"Cloud Computing, Computer, Government, Information Technology, Security, Service Industry","Lenoir, North Carolina, United States",
Ikro,https://www.crunchbase.com/organization/ikro,,Private,For Profit,51-100,,Series A,1982-06-01,,1947-01-01,year,Active,,,,1,Early Stage Venture,724000,USD,724000,724000,USD,724000,Series A,724000,USD,724000,724000,USD,724000,CRP Companhia de Participações,1,Latin America,"Manufacturing, Transportation",,,,,,"Automotive, Manufacturing","Canoas, Rio Grande do Sul, Brazil",
Excelan,https://www.crunchbase.com/organization/excelan,,Private,For Profit,1-10,Was Acquired,Venture - Series Unknown,1982-10-01,,1982-01-01,year,Active,,,1,1,M&A,,,,,,,Venture - Series Unknown,,,,,,,"Bay Partners, Hambrecht & Quist, Dougery, Jones & Wilder Communications",3,"Asia-Pacific (APAC), Australasia","Information Technology, Professional Services",,,,,,"IT Management, Outsourcing","Sydney, New South Wales, Australia",
Sun Microsystems,https://www.crunchbase.com/organization/sun-microsystems,,Private,For Profit,10001+,"Made Acquisitions, Was Acquired",Seed,1982-11-01,,1982-02-01,day,Closed,,,3,1,M&A,1700000,USD,1700000,1700000,USD,1700000,Seed,1700000,USD,1700000,1700000,USD,1700000,Kleiner Perkins,1,"San Francisco Bay Area, Silicon Valley, West Coast","Hardware, Information Technology, Software",,,,,,"Enterprise Software, Hardware, Information Technology, Software","Santa Clara, California, United States",39
Indelsul,https://www.crunchbase.com/organization/indelsul,,Private,For Profit,,,Series A,1982-12-01,,1979-01-01,year,Active,,,,1,Early Stage Venture,165000,USD,165000,165000,USD,165000,Series A,165000,USD,165000,165000,USD,165000,CRP Companhia de Participações,1,Latin America,Internet Services,,,,,,Internet,"Cachoeirinha, Sao Paulo, Brazil",
Laboratórios Noli,https://www.crunchbase.com/organization/laborat-rios-noli,,Private,For Profit,1-10,,Series A,1982-12-01,,,,Active,,,,1,Early Stage Venture,155000,USD,155000,155000,USD,155000,Series A,155000,USD,155000,155000,USD,155000,CRP Companhia de Participações,1,Latin America,Health Care,,,,,,"Medical, Veterinary","Porto Alegre, Rio Grande do Sul, Brazil",
Komag,https://www.crunchbase.com/organization/komag,,Private,For Profit,1001-5000,Was Acquired,Seed,1983-01-01,,1983-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Manufacturing,,,,,,Manufacturing,"Lampung, Kalimantan Tengah, Indonesia",
Digital Communications Associates,https://www.crunchbase.com/organization/digital-communications-associates,,Private,For Profit,,Made Acquisitions,Venture - Series Unknown,1983-01-01,,1981-01-01,year,Active,,,,1,,,,,,,,Venture - Series Unknown,,,,,,,,,,Hardware,,,,,,Telecommunications,,
Sequent Computer Systems Inc,https://www.crunchbase.com/organization/sequent-computer-systems-inc,,Private,For Profit,1001-5000,Was Acquired,Seed,1983-01-01,,1983-01-01,year,Active,,,,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"Greater Seattle Area, West Coast, Western US","Manufacturing, Software",,,,,,"Manufacturing, Software","Seattle, Washington, United States",
Polimax Window Tinting and Car Styling,https://www.crunchbase.com/organization/polimax,,Private,For Profit,1-10,,Series A,1983-06-01,,1983-01-01,year,Active,,,,1,Early Stage Venture,94000,USD,94000,94000,USD,94000,Series A,94000,USD,94000,94000,USD,94000,CRP Companhia de Participações,1,Latin America,"Internet Services, Other, Transportation",,,,,,"Automotive, Internet, Internet of Things, Professional Services, Service Industry","Porto Alegre, Rio Grande do Sul, Brazil",
Morcom International,https://www.crunchbase.com/organization/morcom-international,,Private,For Profit,11-50,,Seed,1984-01-01,,1984-01-01,year,Active,,,1,1,Seed,100000,USD,100000,100000,USD,100000,Seed,100000,USD,100000,100000,USD,100000,,,"Washington DC Metro Area, East Coast, Southern US","Hardware, Internet Services, Mobile",,,,,,"Communication Hardware, Communications Infrastructure, Internet, Mobile, Wireless","Chantilly, Virginia, United States",
Knoware,https://www.crunchbase.com/organization/knoware,,Private,For Profit,11-50,,Undisclosed,1984-01-01,,1979-01-01,year,Active,,,,1,,2000000,USD,2000000,2000000,USD,2000000,Undisclosed,2000000,USD,2000000,2000000,USD,2000000,,,"Asia-Pacific (APAC), Australasia","Data and Analytics, Gaming, Information Technology, Professional Services",,,,,,"Analytics, Consulting, Gaming, Information Technology, PC Games","Wellington, Wellington, New Zealand",
Mixertech,https://www.crunchbase.com/organization/mixertech,,Private,For Profit,1-10,,Series A,1984-05-01,,1986-05-12,day,Active,,,,1,Early Stage Venture,,,,,,,Series A,,,,,,,CRP Companhia de Participações,1,"Europe, Middle East, and Africa (EMEA)",Internet Services,,,,,,Internet,"Gillingham, Dorset, United Kingdom",
Rho,https://www.crunchbase.com/organization/rho,,Private,For Profit,501-1000,,Angel,1984-10-24,,1984-01-01,year,Active,,,1,1,Seed,,,,,,,Angel,,,,,,,Steve Salis,1,"Research Triangle, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Pharmaceutical","Durham, North Carolina, United States",
Promega,https://www.crunchbase.com/organization/promega,,Private,For Profit,5001-10000,,Venture - Series Unknown,1984-12-01,,1978-01-01,year,Active,,,1,1,,,,,,,,Venture - Series Unknown,,,,,,,Venture Investors,1,"Great Lakes, Midwestern US","Biotechnology, Content and Publishing, Manufacturing, Media and Entertainment, Science and Engineering",,,,,,"Journalism, Life Science, Manufacturing","Madison, Wisconsin, United States",
Sunovion Pharmaceuticals,https://www.crunchbase.com/organization/sunovion-pharmaceuticals,,Private,For Profit,5001-10000,"Made Acquisitions, Was Acquired",Seed,1985-01-01,,1984-01-01,year,Active,,,1,1,M&A,,,,,,,Seed,,,,,,,Venrock,1,"Greater Boston Area, East Coast, New England","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Pharmaceutical, Therapeutics","Marlborough, Massachusetts, United States",
Clyde Marine plc,https://www.crunchbase.com/organization/clyde-marine-plc,,Private,For Profit,11-50,,Private Equity,1985-01-01,,1913-01-01,year,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)","Consumer Goods, Manufacturing",,,,,,"Consumer Goods, Manufacturing","Greenock, Inverclyde, United Kingdom",
"MicroTouch Systems, Inc",https://www.crunchbase.com/organization/microtouch-systems-inc,,Private,For Profit,,Was Acquired,Venture - Series Unknown,1985-01-01,,1982-01-01,year,Active,,,,1,M&A,,,,,,,Venture - Series Unknown,,,,,,,Ascent Venture Partners,1,,"Consumer Electronics, Hardware, Software",,,,,,"Electronics, Hardware, Software",,
The Amerang Group Ltd.,https://www.crunchbase.com/organization/the-amerang-group-ltd,,Private,For Profit,1-10,,Private Equity,1985-01-01,,1937-01-01,year,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,3i Group,1,"Europe, Middle East, and Africa (EMEA)",Commerce and Shopping,,,,,,Retail,"Marlborough, Wiltshire, United Kingdom",
World Markets Group,https://www.crunchbase.com/organization/world-markets-group,,Private,For Profit,,,Seed,1985-03-31,,1981-01-05,day,Active,,,1,1,Seed,1000000,USD,1000000,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,Alexander Thorn,1,"Greater Los Angeles Area, West Coast, Western US","Financial Services, Information Technology, Lending and Investments",,,,,,"Banking, Financial Services, Information Technology","Los Angeles, California, United States",
Aeromot,https://www.crunchbase.com/organization/aeromot,,Private,For Profit,1-10,,Series A,1985-05-01,,1967-01-01,year,Active,,,,1,Early Stage Venture,243000,USD,243000,243000,USD,243000,Series A,243000,USD,243000,243000,USD,243000,CRP Companhia de Participações,1,Latin America,"Commerce and Shopping, Government and Military, Science and Engineering",,,,,,"Aerospace, E-Commerce, National Security","Porto Alegre, Rio Grande do Sul, Brazil",
Digitel,https://www.crunchbase.com/organization/digitel-2-2,,Private,For Profit,501-1000,,Series A,1985-05-01,,1978-01-01,year,Active,,,4,1,Early Stage Venture,666000,USD,666000,666000,USD,666000,Series A,666000,USD,666000,666000,USD,666000,CRP Companhia de Participações,1,Latin America,"Data and Analytics, Design, Information Technology, Manufacturing, Software",,,,,,"Big Data, Data Visualization, Information Technology, Manufacturing","Alvorada, Bahia, Brazil",
Curtume Erê,https://www.crunchbase.com/organization/curtume-er,,Private,For Profit,1-10,,Series A,1985-06-01,,,,Active,,,,1,Early Stage Venture,169000,USD,169000,169000,USD,169000,Series A,169000,USD,169000,169000,USD,169000,CRP Companhia de Participações,1,Latin America,"Consumer Goods, Manufacturing",,,,,,"Consumer Goods, Industrial","Getúlio Vargas, Rio Grande do Sul, Brazil",
Tartan,https://www.crunchbase.com/organization/tartan,,Private,For Profit,1-10,Was Acquired,Seed,1985-07-30,,1981-01-01,year,Active,,,2,1,M&A,,,,,,,Seed,,,,,,,Morgenthaler Ventures,1,"Great Lakes, Northeastern US","Hardware, Information Technology, Software",,,,,,"DSP, Information Technology, Software","Monroeville, Pennsylvania, United States",
Maserati,https://www.crunchbase.com/organization/maserati,Growing,Private,For Profit,5001-10000,,Private Equity,1986-01-01,,1914-01-01,year,Active,,,4,1,Private Equity,,,,,,,Private Equity,,,,,,,Serruya Private Equity,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Manufacturing, Transportation",,Medium,,,,"Automotive, Manufacturing, Transportation","Modena, Emilia-Romagna, Italy",
Koninklijke Auping bv,https://www.crunchbase.com/organization/koninklijke-auping-bv,,Private,For Profit,101-250,,Private Equity,1986-01-01,,1888-01-01,year,Active,,,,1,Private Equity,,,,,,,Private Equity,,,,,,,NPM Capital,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Consumer Goods, Manufacturing, Real Estate",,,,,,"Furniture, Home Decor, Manufacturing","Deventer, Overijssel, The Netherlands",
Structural Dynamics Research Corporation,https://www.crunchbase.com/organization/structural-dynamics-research-corporation,,Private,For Profit,5001-10000,,Venture - Series Unknown,1986-01-01,,1967-01-01,year,Active,,,,1,,,,,,,,Venture - Series Unknown,,,,,,,"Morgenthaler Ventures, Venrock",2,"Great Lakes, Midwestern US","Design, Information Technology, Software",,,,,,"CAD, Information Technology, Software","Milford, Ohio, United States",
StrataCom,https://www.crunchbase.com/organization/stratacom,,Private,For Profit,11-50,Was Acquired,Pre-Seed,1986-01-01,,1986-01-01,year,Active,,,3,1,M&A,,,,,,,Pre-Seed,,,,,,,Venrock,1,Midwestern US,Information Technology,,,,,,Information Technology,"Fargo, North Dakota, United States",
Dianon Systems,https://www.crunchbase.com/organization/dianon-systems,,Private,For Profit,1001-5000,Was Acquired,Venture - Series Unknown,1986-01-01,,1983-01-01,year,Active,,,,1,M&A,,,,,,,Venture - Series Unknown,,,,,,,Venrock,1,"East Coast, New England, Northeastern US",Health Care,,,,,,"Health Care, Hospital, Medical","Shelton, Connecticut, United States",1
