Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Fidelity,https://www.crunchbase.com/organization/fidelity-investments,,Private,For Profit,10001+,Made Acquisitions,Secondary Market,2020-12-28,Investment Bank,1946-01-01,year,Active,,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",1,8,,2500000,USD,2500000,,,,,,,,152825000,USD,152825000,Scott Barber,1,"Greater Boston Area, East Coast, New England","Community and Lifestyle, Financial Services, Other",,,,,,"Asset Management, Finance, Financial Services, Retirement, Wealth Management","Boston, Massachusetts, United States",491
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,,Private,Non-profit,10001+,,Grant,2017-08-15,Entrepreneurship Program,1887-01-01,day,Active,,"Grant, Seed",1,1,,5000000,USD,5000000,,,,,,,,5000000,USD,5000000,,,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Health Care, Science and Engineering",,,,,,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Bethesda, Maryland, United States",896
Ant Group,https://www.crunchbase.com/organization/ant-group,,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2022-11-01,,2014-10-01,month,Active,,,1,7,Late Stage Venture,6500000000,USD,6500000000,14000000000,USD,14000000000,Series C,18500000000,USD,18500000000,28500000000,USD,28500000000,"Warburg Pincus, Silver Lake, The Carlyle Group, Sequoia Capital, Banco Bilbao Vizcaya Argentaria",22,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Payments",,,,,,"Banking, Financial Services, FinTech, Payments","Hangzhou, Zhejiang, China",124
Reliance Jio,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,Growing,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2023-10-03,,2007-01-01,year,Active,,,1,16,,166400000000,INR,1999338200,337370000000,INR,4489237314,Corporate Round,20049235082,USD,20049235082,28361990389,USD,28361990389,"Citi, HSBC, Standard Chartered Bank, Scotiabank, Meta",48,Asia-Pacific (APAC),"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Software",,High,,,,"Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications","Mumbai, Maharashtra, India",3
Vestas,https://www.crunchbase.com/organization/vestas,,Private,For Profit,10001+,"Made Acquisitions, Was Acquired",Grant,2024-08-27,,1898-01-01,year,Active,,,1,3,M&A,,,,,,,,,,,487487527,USD,487487527,"Australian Renewable Energy Agency, European Investment Bank, The Energy Technology Development and Demonstration Programme",3,"European Union (EU), Nordic Countries, Scandinavia","Energy, Science and Engineering, Sustainability",,,,,,"Energy, Environmental Engineering, Renewable Energy","Aarhus, Midtjylland, Denmark",3
UST,https://www.crunchbase.com/organization/ust,,Private,For Profit,10001+,Made Acquisitions,Private Equity,2018-06-27,"Corporate Venture Capital, Private Equity Firm",1999-01-01,year,Active,,,1,1,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Temasek Holdings,1,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Professional Services",,,,,,"Consulting, Information Services, Information Technology","Aliso Viejo, California, United States",18
Trafigura,https://www.crunchbase.com/organization/trafigura,Growing,Private,For Profit,10001+,Made Acquisitions,Post-IPO Debt,2024-03-14,,1993-01-01,year,Active,,,1,8,,1900000000,USD,1900000000,,,,,,,,15635000000,USD,15635000000,"Sumitomo Mitsui Banking Corporation, Trade and Development Bank -TDB, Citibank UK, Export-Import Bank of the United States, Saudi EXIM",8,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Energy, Manufacturing, Natural Resources, Transportation",,Medium,,,,"Industrial, Mineral, Oil and Gas, Shipping, Supply Chain Management","Singapore, Central Region, Singapore",19
Reliance Retail,https://www.crunchbase.com/organization/reliance-retail,Growing,Private,For Profit,10001+,Made Acquisitions,Private Equity,2023-10-06,,2006-01-01,year,Active,,,,9,Private Equity,600000000,USD,600000000,600000000,USD,600000000,Private Equity,8271668036,USD,8271668036,8271668036,USD,8271668036,"TPG, Kohlberg Kravis Roberts, Silver Lake, Abu Dhabi Investment Authority, Mubadala",9,Asia-Pacific (APAC),"Commerce and Shopping, Consumer Goods, Food and Beverage",,High,,,,"Consumer Goods, Grocery, Retail","Mumbai, Maharashtra, India",2
Swiggy,https://www.crunchbase.com/organization/swiggy,Growing,Private,For Profit,10001+,Made Acquisitions,Venture - Series Unknown,2024-08-28,,2014-08-01,day,Active,,,4,16,,,,,,,,Venture - Series Unknown,3571500000,USD,3571500000,3587686864,USD,3587686864,"Tencent, Meituan, Elevation Capital, Invesco, Wellington Management",43,Asia-Pacific (APAC),"Apps, Food and Beverage, Software, Transportation",,High,,,,"Apps, Delivery Service, Food and Beverage, Food Delivery","Bangalore, Karnataka, India",6
NASA,https://www.crunchbase.com/organization/nasa,,Private,For Profit,10001+,,,,Government Office,1958-07-29,day,Active,,,1,,,,,,,,,,,,,,,,,,"Washington DC Metro Area, Southern US","Government and Military, Hardware, Science and Engineering, Software, Transportation",,,,,,"Aerospace, National Security, Robotics, Space Travel","Washington, District of Columbia, United States",167
Pemex,https://www.crunchbase.com/organization/pemex,Not Growing,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2024-08-22,,1938-06-07,day,Active,,,1,4,,,,,,,,,,,,10000000000,USD,10000000000,"Citi, SMBC Venture Capital, Deutsche Bank, Barclays Corporate Banking, Banorte",5,Latin America,"Energy, Natural Resources, Sustainability",,High,,,,"Energy, Natural Resources, Oil and Gas","Mexico City, Distrito Federal, Mexico",
Blue Origin,https://www.crunchbase.com/organization/blue-origin,Growing,Private,For Profit,10001+,Made Acquisitions,Secondary Market,2024-02-20,,2000-09-08,day,Active,Yes,,1,5,,,,,18000000,USD,18000000,Undisclosed,18000000,USD,18000000,185350000,USD,185350000,"NASA, E1 Ventures, United States Space Force",3,"Greater Seattle Area, West Coast, Western US","Energy, Government and Military, Manufacturing, Science and Engineering, Sustainability",,Medium,,,,"Aerospace, Manufacturing, National Security, Renewable Energy","Kent, Washington, United States",
