Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Datalis,https://www.crunchbase.com/organization/datalis-pty-ltd,,Private,For Profit,1-10,,Pre-Seed,2024-01-16,,2023-08-24,day,Active,,,1,2,Seed,,AUD,,,AUD,,Pre-Seed,225000,AUD,145780,225000,AUD,145780,Antler Australia,1,"Asia-Pacific (APAC), Australasia","Advertising, Commerce and Shopping, Information Technology, Sales and Marketing",,,,,,"Advertising, Information Technology, Retail","Brisbane, Queensland, Australia",
Lumi Ride,https://www.crunchbase.com/organization/lumi-ride,,Private,For Profit,11-50,,Series A,2022-04-23,,2020-07-01,day,Active,,,3,3,Early Stage Venture,,AUD,,,AUD,,Series A,1735000,AUD,1267363,1735000,AUD,1267363,Troy Mahoney,1,"Asia-Pacific (APAC), Australasia","Government and Military, Other, Professional Services, Transportation",,,,,,"Customer Service, Public Safety, Transportation","Melbourne, Victoria, Australia",
NovoGrid,https://www.crunchbase.com/organization/novogrid,,Private,For Profit,1-10,,Convertible Note,2019-12-31,,2014-09-15,day,Active,,,3,4,Seed,250000,EUR,280498,,EUR,,Pre-Seed,,EUR,,427500,EUR,482615,"NDRC, eDot Invest, MDR Capital",3,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Energy, Financial Services, Lending and Investments, Natural Resources, Software, Sustainability, Transportation",,,,,,"Battery, Clean Energy, Electric Vehicle, Electrical Distribution, Energy, Power Grid, Software, Solar, Trading Platform, Wind Energy","Dublin, Dublin, Ireland",
NordMoney,https://www.crunchbase.com/organization/nordmoney,,Private,For Profit,1-10,,Pre-Seed,2024-01-01,,2016-11-25,day,Active,,,5,4,Seed,,EUR,,,EUR,,Pre-Seed,136500,USD,136500,136500,USD,136500,"Google, Microsoft, Amazon Web Services",3,"European Union (EU), Nordic Countries, Scandinavia","Financial Services, Lending and Investments, Payments",,,,,,"Banking, Financial Exchanges, Financial Services, FinTech, Payments","Stockholm, Stockholms Lan, Sweden",
Templar Payments™,https://www.crunchbase.com/organization/templar-payments-ltd,,Private,For Profit,11-50,,Seed,2021-06-21,,2020-08-27,day,Active,,,2,2,Seed,,GBP,,,GBP,,Seed,100000,GBP,132004,100000,GBP,132004,,,"Europe, Middle East, and Africa (EMEA)","Financial Services, Internet Services, Mobile, Payments, Software",,,,,,"Financial Services, FinTech, Internet, Mobile, Payments, SaaS, Software","Leeds, Leeds, United Kingdom",
Ping,https://www.crunchbase.com/organization/ping-2131,,Private,For Profit,11-50,,Seed,2023-08-04,,2019-01-01,year,Active,,,1,2,Seed,,BRL,,,BRL,,Seed,250000,BRL,66597,250000,BRL,66597,"Bossanova Investimentos, Rafael Ribeiro",2,Latin America,Software,,,,,,Software,"Pôrto Velho, Rondonia, Brazil",
Urban Stalk Inc.,https://www.crunchbase.com/organization/urban-stalk,,Private,For Profit,1-10,,Non-equity Assistance,2022-06-01,,2018-05-18,day,Active,,,1,3,Seed,,,,,CAD,,Pre-Seed,60000,CAD,47826,60000,CAD,47826,"AcceliCITY powered by Leading Cities, Newchip Accelerator",2,Great Lakes,"Agriculture and Farming, Sustainability",,,,,,"Agriculture, AgTech, CleanTech","Brantford, Ontario, Canada",
Metaschool,https://www.crunchbase.com/organization/metaschool,,Private,For Profit,11-50,,Seed,2022-09-23,,2022-01-01,year,Active,,,1,1,Seed,1,AED,,1,AED,,Seed,1,AED,,1,AED,,"Blockchain Founders Fund, Goodwater Capital, MCE Group",3,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Blockchain and Cryptocurrency, Education, Internet Services, Software",,,,,,"E-Learning, Web3","Singapore, Central Region, Singapore",
FR33M3N,https://www.crunchbase.com/organization/fr33m3n,,Private,For Profit,1-10,,Seed,2022-09-01,,2022-05-04,day,Active,,,2,2,Seed,,GBP,,,GBP,,Seed,150000,GBP,181421,150000,GBP,181421,,,"Europe, Middle East, and Africa (EMEA)","Education, Financial Services",,,,,,"Education, Finance, Financial Services, FinTech","London, England, United Kingdom",
RoboMed,https://www.crunchbase.com/organization/robomed,,Private,For Profit,1-10,,Seed,2023-07-15,,2020-09-01,month,Active,,,4,4,Seed,,EUR,,,EUR,,Seed,185000,EUR,214393,185000,EUR,214393,,,"European Union (EU), Nordic Countries, Scandinavia",Health Care,,,,,,"Health Care, Health Diagnostics","Helsinki, Southern Finland, Finland",
Aetherium Gaming,https://www.crunchbase.com/organization/aetherium-gaming,,Private,For Profit,1-10,,Pre-Seed,2024-08-14,,2023-06-14,day,Active,,,2,1,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,,GBP,,,,"Europe, Middle East, and Africa (EMEA)",Gaming,,,,,,"Gaming, Online Games, Video Games","London, England, United Kingdom",
Fat Rabbit,https://www.crunchbase.com/organization/fat-rabbit,,Private,For Profit,1-10,,Seed,2021-08-01,,2020-03-18,day,Active,,,2,2,Seed,,GBP,,,GBP,,Seed,20000,GBP,28312,20000,GBP,28312,,,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Digital Entertainment, Generative AI, Software","London, England, United Kingdom",
Nibble,https://www.crunchbase.com/organization/nibble-5785,,Private,For Profit,1-10,,Pre-Seed,2022-12-16,,2021-01-01,year,Active,,,3,2,Seed,,GBP,,,GBP,,Pre-Seed,11200,GBP,14870,11200,GBP,14870,,,"Europe, Middle East, and Africa (EMEA)","Apps, Community and Lifestyle, Food and Beverage, Mobile, Software, Travel and Tourism",,,,,,"Dating, Food and Beverage, Hospitality, Leisure, Mobile Apps, Restaurants, Social","London, England, United Kingdom",
Digital Class: Edtech Marketplace,https://www.crunchbase.com/organization/digital-class-e-learning-marketplace,Growing,Private,For Profit,11-50,,Angel,2020-06-21,,2017-05-25,day,Active,,,1,1,Seed,,INR,,,INR,,Angel,,INR,,,INR,,,,Asia-Pacific (APAC),"Commerce and Shopping, Education, Software",,,,,,"EdTech, Marketplace","Ahmedabad, Gujarat, India",
RAUMPIONIERE,https://www.crunchbase.com/organization/raumpioniere,,Private,For Profit,11-50,,Seed,2022-10-19,,2020-01-01,year,Active,,,5,2,Seed,,CHF,,,CHF,,Seed,50000,CHF,54442,50000,CHF,54442,"Startfeld, Startfeld foundation, Private Family Office, RAUMPIONIERE Business Angels",4,"Europe, Middle East, and Africa (EMEA)","Other, Real Estate",,,,,,"Commercial, Property Development, Real Estate","Saint Gallen, Sankt Gallen, Switzerland",
Delivsec,https://www.crunchbase.com/organization/delivsec,,Private,For Profit,1-10,,Pre-Seed,2023-07-24,,2023-01-01,year,Active,,,,2,Seed,,EUR,,,EUR,,Pre-Seed,13000,EUR,14307,13000,EUR,14307,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Information Technology, Privacy and Security",,,,,,"Cyber Security, Information Technology, Network Security, Penetration Testing","Lisboa, Lisboa, Portugal",
Circular Refining and Products Company,https://www.crunchbase.com/organization/circular-refining-and-products-company,,Private,For Profit,1-10,,Grant,2023-08-22,,2022-01-01,year,Active,,,1,4,Seed,15000,GBP,19097,,GBP,,Pre-Seed,18600,GBP,22531,41933,GBP,51843,"Simon Dunn, Philip Walsh",2,"Europe, Middle East, and Africa (EMEA)","Energy, Science and Engineering, Sustainability",,,,,,"Environmental Engineering, Renewable Energy, Sustainability","Manchester, Manchester, United Kingdom",
hungerhub,https://www.crunchbase.com/organization/hungerhub,Growing,Private,For Profit,11-50,,Pre-Seed,2018-10-17,,2018-10-17,day,Active,,,1,1,Seed,,CAD,,,CAD,,Pre-Seed,,CAD,,,CAD,,,,Great Lakes,"Apps, Commerce and Shopping, Food and Beverage, Other, Software, Transportation",,High,,,,"B2B, E-Commerce, Enterprise Applications, Food Delivery, Logistics","Toronto, Ontario, Canada",
Ignota Labs,https://www.crunchbase.com/organization/ignota-labs,Growing,Private,For Profit,1-10,,Pre-Seed,2022-10-11,,2021-01-01,year,Active,,,2,1,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,,GBP,,"Sustainable Ventures, Discovery Park Ventures",2,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Pharmaceutical","London, England, United Kingdom",
DrGuido,https://www.crunchbase.com/organization/drguido,,Private,For Profit,1-10,,Pre-Seed,2024-03-14,,2024-01-01,month,Active,,,1,2,Seed,,EUR,,,EUR,,Pre-Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Generative AI, Health Care, Health Diagnostics, Personal Health, Web Apps","Milan, Lombardia, Italy",
2Censor Pty Ltd,https://www.crunchbase.com/organization/2censor-pty-ltd,,Private,For Profit,1-10,,Seed,2024-06-01,,2019-09-06,day,Active,,,2,1,Seed,,AUD,,,AUD,,Seed,,AUD,,,AUD,,,,"Asia-Pacific (APAC), Australasia","Internet Services, Natural Resources",,,,,,"Internet of Things, Mining, Mining Technology","Mackay, Queensland, Australia",
Buzicard,https://www.crunchbase.com/organization/buzicard,,Private,For Profit,1-10,,Seed,2021-06-01,,2019-10-10,day,Active,,,1,2,Seed,,EUR,,,EUR,,Seed,100000,EUR,118308,100000,EUR,118308,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Software",,,,,,"Brand Marketing, Publishing, Social Network, Software","Leichlingen, Nordrhein-Westfalen, Germany",
Circle,https://www.crunchbase.com/organization/circle-9e99,,Private,For Profit,1-10,,Pre-Seed,2022-10-26,,2019-10-01,day,Active,,,1,2,Seed,,GBP,,,GBP,,Pre-Seed,70000,GBP,90650,70000,GBP,90650,Waqas Chaudhri,1,"Europe, Middle East, and Africa (EMEA)","Internet Services, Media and Entertainment",,,,,,Social Media,"Keighley, Bradford, United Kingdom",
NeduAI,https://www.crunchbase.com/organization/neduai,,Private,For Profit,1-10,,Pre-Seed,2024-06-01,,2023-07-07,day,Active,,,2,1,Seed,,EUR,,,EUR,,Pre-Seed,,EUR,,,EUR,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Education, Professional Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Education, Human Resources, Recruiting, SaaS, Skill Assessment, Software",,
Caasify,https://www.crunchbase.com/organization/caasify,,Private,For Profit,1-10,,Seed,2024-07-01,,2024-04-09,day,Active,,,,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Hardware, Information Technology, Internet Services, Software",,,,,,"Cloud Computing, Cloud Data Services, Cloud Storage, Data Center, Web Hosting","Vilnius, Vilniaus Apskritis, Lithuania",
1000Kelvin,https://www.crunchbase.com/organization/1000kelvin,Growing,Private,For Profit,11-50,,Grant,2022-05-01,,2021-01-01,year,Active,,,2,2,Seed,,EUR,,,EUR,,Pre-Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",,,,,,"3D Printing, Artificial Intelligence (AI), Software","Berlin, Berlin, Germany",
Ria Insurance,https://www.crunchbase.com/organization/ria-insurance,,Private,For Profit,11-50,,Pre-Seed,2019-10-01,,2019-06-01,day,Active,,,4,1,Seed,,INR,,,INR,,Pre-Seed,,INR,,,INR,,"Rainmatter Capital, BEENEXT, Leo Capital",3,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Software",,,,,,"Health Care, Insurance, InsurTech, Machine Learning","New Delhi, Delhi, India",
DroneAdda,https://www.crunchbase.com/organization/droneadda,,Private,For Profit,1-10,,Pre-Seed,2022-09-01,,2022-07-01,day,Active,,,,1,Seed,,INR,,,INR,,Pre-Seed,,INR,,,INR,,,,Asia-Pacific (APAC),"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering",,,,,,"Aerospace, Drones, Electronics, Hardware, Manufacturing","Delhi, Delhi, India",
PROTe-IN,https://www.crunchbase.com/organization/prote-in,Growing,Private,,1-10,,Non-equity Assistance,2024-05-24,,2020-12-10,day,Active,,,1,2,Seed,,,,,EUR,,Seed,,EUR,,,EUR,,MassChallenge Switzerland,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Biotechnology, Food and Beverage, Science and Engineering",,,,,,"Biotechnology, Food and Beverage","Torino, Piemonte, Italy",
ADVIZEINDIA.COM,https://www.crunchbase.com/organization/advizeindia-com,,Private,For Profit,11-50,,Undisclosed,2023-05-02,,2023-02-01,day,Active,,,,1,,,ALL,,,ALL,,Undisclosed,,ALL,,,ALL,,,,Asia-Pacific (APAC),"Financial Services, Other, Professional Services, Sales and Marketing",,,,,,"Accounting, Consulting, Digital Marketing, Legal, Management Consulting, Marketing, Professional Services","Delhi, Delhi, India",
Aarvee Associates,https://www.crunchbase.com/organization/aarvee-associates,,Private,For Profit,1001-5000,,Series A,1989-01-01,,1989-01-01,day,Active,,,1,1,Early Stage Venture,,INR,,,INR,,Series A,,INR,,,INR,,,,Asia-Pacific (APAC),"Professional Services, Real Estate, Science and Engineering",,,,,,"Architecture, Civil Engineering, Consulting","Hyderabad, Andhra Pradesh, India",
re_data,https://www.crunchbase.com/organization/re-data,,Private,For Profit,1-10,,Pre-Seed,2021-07-01,,2021-01-01,day,Active,,,2,1,Seed,,PLN,,,PLN,,Pre-Seed,,PLN,,,PLN,,"Sunfish Partners, FundingBox Deep Tech Fund",2,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Data and Analytics,,,,,,Analytics,"Warsaw, Mazowieckie, Poland",
Ozank,https://www.crunchbase.com/organization/ozank,,Private,For Profit,11-50,,Seed,2023-01-01,,2019-01-16,day,Active,,,1,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,"Berlin, Berlin, Germany",
Progressture Solar,https://www.crunchbase.com/organization/progressture-solar,Growing,Private,For Profit,11-50,,Series A,2021-11-30,,2013-09-30,day,Active,,,3,3,Early Stage Venture,,MYR,,,MYR,,Series A,,MYR,,,MYR,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Energy, Natural Resources, Sustainability",,,,,,"CleanTech, Energy, Renewable Energy, Solar","Kuala Lumpur, Kuala Lumpur, Malaysia",
Hidden,https://www.crunchbase.com/organization/hidden-ad8c,,Private,For Profit,1-10,,Pre-Seed,2020-06-01,,2020-01-01,year,Active,,,1,1,Seed,,AUD,,,AUD,,Pre-Seed,,AUD,,,AUD,,,,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,"Los Angeles, California, United States",
THREEVISION,https://www.crunchbase.com/organization/threevision,,Private,For Profit,11-50,,Seed,2023-01-23,,2022-04-02,day,Active,,,4,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Blockchain and Cryptocurrency, Gaming, Mobile, Other, Software",,,,,,"Blockchain, Gaming, Mobile Apps, Video Games","Savigny-sur-orge, Ile-de-France, France",
Mestikon Digital Agency,https://www.crunchbase.com/organization/mestikon-digital-agency,,Private,For Profit,1-10,,Undisclosed,2023-12-09,,2012-03-05,day,Active,,,1,1,,,UAH,,,UAH,,Undisclosed,,UAH,,,UAH,,Vlad Volov,1,"Europe, Middle East, and Africa (EMEA)","Advertising, Content and Publishing, Design, Internet Services, Media and Entertainment, Sales and Marketing",,,,,,"Advertising, Creative Agency, Online Portals, Web Design","Odessa, Odes'ka Oblast', Ukraine",
Vuframe® – Smart 3D Visuals,https://www.crunchbase.com/organization/vuframe,,Private,For Profit,11-50,,Seed,2015-01-15,,2015-01-01,day,Active,,,1,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Design, Hardware, Information Technology, Other, Software",,,,,,"3D Technology, Augmented Reality, CAD, Information Technology, Real Time, Software, Virtual Reality","Regensburg, Bayern, Germany",
TRIPA,https://www.crunchbase.com/organization/tripa-f645,,Private,For Profit,1-10,,Pre-Seed,2022-06-17,,2021-02-15,day,Active,,,2,1,Seed,,EUR,,,EUR,,Pre-Seed,,EUR,,,EUR,,,,"Greater Miami Area, East Coast, Southern US",Software,,,,,,"SaaS, Software","Hollywood, Florida, United States",
Gustosa Foods Private Limited,https://www.crunchbase.com/organization/gustosa-foods-private-limited,,Private,For Profit,1-10,,Seed,2023-11-25,,2020-09-19,day,Active,,,1,1,Seed,,INR,,,INR,,Seed,,INR,,,INR,,,,Asia-Pacific (APAC),Food and Beverage,,,,,,"Food and Beverage, Food Processing, Organic Food","Purnea, Bihar, India",
MasMedi,https://www.crunchbase.com/organization/masmedi,,Private,For Profit,11-50,,Pre-Seed,2022-09-07,,2020-12-15,day,Active,,,1,2,Seed,,INR,,,INR,,Pre-Seed,,INR,,,INR,,,,Asia-Pacific (APAC),Health Care,,,,,,"Health Care, Health Diagnostics","Mumbai, Maharashtra, India",
Remote Kitchen,https://www.crunchbase.com/organization/remote-kitchen-9fcd,,Private,For Profit,11-50,,Pre-Seed,2022-11-20,,2022-10-01,month,Active,,,,1,Seed,,CAD,,,CAD,,Pre-Seed,,CAD,,,CAD,,Ginkgo Capital,1,,"Food and Beverage, Sales and Marketing, Software",,,,,,"Digital Marketing, Food and Beverage, SaaS","Richmond, British Columbia, Canada",
Splitty Pay,https://www.crunchbase.com/organization/splitty-pay,,Private,For Profit,1-10,,Convertible Note,2020-11-11,,2018-04-19,day,Closed,,,2,3,Seed,,EUR,,,EUR,,Angel,,EUR,,,EUR,,,,,"Financial Services, Mobile, Payments, Software",,,,,,"FinTech, Mobile, Mobile Payments, Software",,
idele,https://www.crunchbase.com/organization/idele,,Private,For Profit,1-10,,Pre-Seed,2024-03-14,,2024-03-14,day,Active,,,1,1,Seed,,SEK,,,SEK,,Pre-Seed,,SEK,,,SEK,,,,,Software,,,,,,Software,,
Priorit.io,https://www.crunchbase.com/organization/prioritio,,Private,For Profit,1-10,,Pre-Seed,2023-01-31,,2021-11-21,day,Active,,,2,1,Seed,,EUR,,,EUR,,Pre-Seed,,EUR,,,EUR,,,,"European Union (EU), Nordic Countries, Scandinavia","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Business Development, Business Information Systems, Business Intelligence, SaaS, Software","Lahti, Southern Finland, Finland",
SwapBox,https://www.crunchbase.com/organization/swapbox-2792,,Private,For Profit,1-10,,Seed,2021-06-01,,2020-12-01,month,Active,,,3,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Administrative Services,,,,,,Packaging Services,"Amsterdam, Noord-Holland, The Netherlands",
Satoshi Nakamoto,https://www.crunchbase.com/organization/olympians,,Private,,,,Venture - Series Unknown,2015-09-18,,2024-01-01,month,Closed,,,1,1,,,MYR,,,MYR,,Venture - Series Unknown,,MYR,,,MYR,,Teraju,,,"Blockchain and Cryptocurrency, Other",,,,,,Blockchain,,
Orevon Partners,https://www.crunchbase.com/organization/orevon-venture-partners,,Private,For Profit,1-10,,Venture - Series Unknown,2021-01-01,"Accelerator, Venture Capital",2021-07-01,day,Active,,"Early Stage Venture, Seed",4,1,,,EUR,,,EUR,,Venture - Series Unknown,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Other, Privacy and Security, Science and Engineering, Software",,,,,,"Angel Investment, Artificial Intelligence (AI), Blockchain, Cyber Security, Finance, Financial Services, FinTech, Hedge Funds, IT Management, Venture Capital","Luxembourg, Luxembourg, Luxembourg",
Voxterr Holdings Ltd,https://www.crunchbase.com/organization/voxterr,,Private,For Profit,1-10,,Undisclosed,2018-03-14,,2011-09-01,day,Active,,,1,1,,,GBP,,,GBP,,Undisclosed,,GBP,,,GBP,,Dean Despotovic,1,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Sales and Marketing, Science and Engineering, Software",,,,,,"Big Data, Consumer Software, Financial Exchanges, FinTech, Intelligent Systems, Marketing, Marketing Automation, Software","London, England, United Kingdom",
SynapCon,https://www.crunchbase.com/organization/synapcon,,Private,For Profit,11-50,,Seed,2023-03-01,,2021-06-01,day,Active,,,1,1,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Health Care, Information Technology, Internet Services, Software",,,,,,"Clinical Trials, Health Care, Information Technology, Pharmaceutical, Software, Web3","Frankfurt, Hessen, Germany",
Aomics GmbH,https://www.crunchbase.com/organization/aomics-gmbh,,Private,For Profit,1-10,,Grant,2021-08-26,,2019-06-01,month,Active,,,1,2,Seed,,EUR,,,EUR,,Seed,,EUR,,,EUR,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning","Frankfurt, Hessen, Germany",
