Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
1Crowd,https://www.crunchbase.com/organization/1crowd,Growing,Private,For Profit,11-50,,Angel,2019-04-18,Venture Capital,2015-01-01,year,Active,,"Early Stage Venture, Seed, Venture",2,2,Seed,,,,,,,Angel,3500000,USD,3500000,3500000,USD,3500000,ANME,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Other",,Medium,,,,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital","Mumbai, Maharashtra, India",53
Chainlink,https://www.crunchbase.com/organization/chainlink,Growing,Private,For Profit,251-500,Made Acquisitions,Angel,2021-09-01,,2014-01-01,day,Active,,,,5,Seed,,,,,,,Angel,32000000,USD,32000000,32000000,USD,32000000,"George Burke, Fundamental Labs, Nirvana Capital, AlphaCoin Fund, FJ Syndicates",9,,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Other, Privacy and Security, Software",,High,,,,"Blockchain, Decentralized Finance (DeFi), Information Technology, Internet, Security, Software, Web3","Grand Cayman, Midland, Cayman Islands",13
IppoPay,https://www.crunchbase.com/organization/ippopay,Growing,Private,For Profit,251-500,Made Acquisitions,Angel,2024-08-06,,2020-11-01,month,Active,,,3,3,Seed,200000000,INR,2384916,200000000,INR,2384916,Angel,4734916,USD,4734916,4734916,USD,4734916,"Blume Ventures, Better Capital, Coinbase Ventures, Mithun Sacheti, Archana Priyadarshini",9,Asia-Pacific (APAC),"Financial Services, Other, Payments",,,,,,"Financial Services, FinTech, Payments, Small and Medium Businesses","Chennai, Tamil Nadu, India",
Game Science,https://www.crunchbase.com/organization/game-science,Growing,Private,For Profit,101-250,,Angel,2017-05-12,,2014-06-01,day,Active,,,1,1,Seed,3000000,CNY,434852,3000000,CNY,434852,Angel,3000000,CNY,434852,3000000,CNY,434852,Tianjin Yingxiong Jinkong Keji,1,Asia-Pacific (APAC),"Gaming, Media and Entertainment, Mobile",,,,,,"Gaming, Media and Entertainment, Mobile","Nanshanqu, Guangdong, China",
Vay,https://www.crunchbase.com/organization/ree-technology,,Private,For Profit,101-250,,Angel,2022-03-28,,2018-01-01,year,Active,,,3,2,Seed,,,,,,,Angel,95000000,USD,95000000,95000000,USD,95000000,"Eurazeo, Creandum, Coatue, Kinnevik, La Famiglia",13,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Information Technology, Software, Transportation",,,,,,"Autonomous Vehicles, Information Technology, Software","Berlin, Berlin, Germany",
Lyzr AI,https://www.crunchbase.com/organization/lyzr-ai,Growing,Private,For Profit,11-50,,Angel,2023-09-01,,2023-07-01,day,Active,,,1,1,Seed,200000,USD,200000,200000,USD,200000,Angel,200000,USD,200000,200000,USD,200000,Y Combinator,1,"Greater New York Area, East Coast, Northeastern US","Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software",,,,,,"Apps, Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, Information Technology, Language Learning, Machine Learning, Open Source, SaaS","Jersey City, New Jersey, United States",
Plum,https://www.crunchbase.com/organization/plum-goodness,,Private,For Profit,101-250,,Angel,2022-06-23,,2013-01-01,year,Active,,,1,4,Seed,,,,,,,Angel,3800000000,INR,50168636,3800000000,INR,50168636,"A91 Partners, Trifecta Capital Advisors, Unilever Ventures, Faering Capital, Rashmika Mandanna",5,Asia-Pacific (APAC),"Commerce and Shopping, Consumer Goods",,,,,,"Beauty, Cosmetics, E-Commerce","Mumbai, Maharashtra, India",
JhaJi Store,https://www.crunchbase.com/organization/jhaji-store,,Private,For Profit,11-50,,Angel,2023-01-02,,2020-10-22,day,Active,,,3,1,Seed,130000000,INR,1571830,130000000,INR,1571830,Angel,130000000,INR,1571830,130000000,INR,1571830,"Ivy Growth Associates, Vineeta Singh, Namita Thapar, Jharkhand Angels Network, Karekeba Ventures",5,Asia-Pacific (APAC),"Commerce and Shopping, Consumer Goods, Food and Beverage, Other",,,,,,"Commercial, Consumer Goods, E-Commerce, Food and Beverage","Darbhanga, Bihar, India",
flutrr,https://www.crunchbase.com/organization/flutrr,Growing,Private,For Profit,11-50,,Angel,2024-07-02,,2021-07-01,month,Active,,,4,2,Seed,20000000,INR,239407,20000000,INR,239407,Angel,60000000,INR,719717,60000000,INR,719717,"The Chennai Angels, The Times Of India, Yogesh Mishra, Huma Qureshi, Sandeep Bhattacharya",8,Asia-Pacific (APAC),"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",,High,,,,"Dating, Internet, Mobile Apps, Social Media","Kolkata, West Bengal, India",
Buupass,https://www.crunchbase.com/organization/buupass,Growing,Private,For Profit,1-10,Made Acquisitions,Angel,2024-02-27,,2016-09-15,day,Active,,,3,6,Seed,,,,,,,Angel,1401748,USD,1401748,2501748,USD,2501748,"Google for Startups, Founders Factory Africa, Artha Group, Renew Capital, Bosch",15,"Europe, Middle East, and Africa (EMEA)","Events, Media and Entertainment, Transportation, Travel and Tourism",,High,,,,"Public Transportation, Reservations, Travel","Nairobi, Nairobi Area, Kenya",
Flexa,https://www.crunchbase.com/organization/flexa,,Private,For Profit,11-50,Made Acquisitions,Angel,2021-01-01,,2018-01-01,year,Active,,,4,5,Seed,,,,,,,Angel,20100000,USD,20100000,20100000,USD,20100000,"ICONIUM, Access Ventures, Pantera Capital, 1kx, Jaws Ventures",10,"Greater New York Area, East Coast, Northeastern US","Blockchain and Cryptocurrency, Financial Services, Mobile, Other, Payments, Privacy and Security, Software",,,,,,"Blockchain, Cryptocurrency, Financial Services, Mobile, Payments, Security","New York, New York, United States",
