Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
NEOM,https://www.crunchbase.com/organization/neom-585e,Stable,Private,Non-profit,1001-5000,,Debt Financing,2024-04-28,Government Office,2019-01-01,year,Active,,,1,1,,10000000000,SAR,2667340259,,,,,,,,10000000000,SAR,2667340259,"Al-Rajhi Bank, Alinma Bank, The Saudi Investment Bank, Bank Aljazira, Arab National Bank",6,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Government and Military, Other, Privacy and Security, Social Impact",,Low,,,,"Government, Law Enforcement, Non Profit","Riyadh, Ar Riyad, Saudi Arabia",6
BC Partners,https://www.crunchbase.com/organization/bc-partners,Stable,Private,For Profit,251-500,Made Acquisitions,Private Equity,2019-08-06,Private Equity Firm,1986-01-01,year,Active,,"Debt, Post-Ipo, Private Equity",2,2,Private Equity,,,,,,,Private Equity,,,,595000000,GBP,759815346,"Ares Management, Blackstone Group",2,"Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments, Real Estate",,Medium,,,,"Finance, Financial Services, Real Estate, Venture Capital","London, England, United Kingdom",19
Hulu,https://www.crunchbase.com/organization/hulu,Stable,Private,For Profit,1001-5000,"Made Acquisitions, Was Acquired",Undisclosed,2016-08-03,,2007-03-01,day,Active,,,2,3,M&A,583000000,USD,583000000,583000000,USD,583000000,Undisclosed,683000000,USD,683000000,683000000,USD,683000000,"The Walt Disney Company, Providence Equity Partners, WarnerMedia",3,"Greater Los Angeles Area, West Coast, Western US","Content and Publishing, Media and Entertainment, Video",,Medium,,,,"Content, Film, TV, Video, Video Streaming","Los Angeles, California, United States",
BlockTower Capital,https://www.crunchbase.com/organization/blocktower-capital,Stable,Private,For Profit,11-50,Made Acquisitions,Venture - Series Unknown,2018-01-04,Venture Capital,2017-01-01,year,Active,,"Early Stage Venture, Initial Coin Offering, Seed, Venture",1,1,,140000000,USD,140000000,140000000,USD,140000000,Venture - Series Unknown,140000000,USD,140000000,140000000,USD,140000000,"Andreessen Horowitz, Union Square Ventures, Blue Collective, Circle Ventures",4,"Greater Miami Area, East Coast, Southern US","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,Low,,,,"Blockchain, Cryptocurrency, Finance, FinTech, Virtual Currency","Miami, Florida, United States",52
Kickstarter,https://www.crunchbase.com/organization/kickstarter,Stable,Private,For Profit,51-100,Made Acquisitions,Series D,2022-01-18,Venture Capital,2007-01-01,month,Active,,Crowdfunding,3,3,Late Stage Venture,,,,,,,Series D,110000000,USD,110000000,110000000,USD,110000000,"Thrive Capital, Union Square Ventures, Betaworks, a16z crypto, Jack Dorsey",22,"Greater New York Area, East Coast, Northeastern US","Consumer Goods, Financial Services, Gaming, Lending and Investments",$10M to $50M,Medium,,,,"Card and Board Games, Crowdfunding, Finance, Funding Platform","Brooklyn, New York, United States",28
Futureverse,https://www.crunchbase.com/organization/futureverse,Stable,Private,For Profit,251-500,,Corporate Round,2024-06-28,,2022-01-01,year,Active,,,,3,,,,,,,,Corporate Round,54000000,USD,54000000,54000000,USD,54000000,"Animoca Brands, Ripple, Airtree Ventures, Blockchain Founders Fund, 10T Holdings",5,"Asia-Pacific (APAC), Australasia","Apps, Information Technology, Internet Services, Media and Entertainment, Software",,Low,,,,"Apps, Cloud Data Services, Information Technology, Internet, Metaverse","Auckland, Auckland, New Zealand",2
UnitedMasters,https://www.crunchbase.com/organization/unitedmasters,Stable,Private,For Profit,251-500,,Series C,2021-10-28,,2017-01-01,year,Active,,,1,3,Late Stage Venture,50000000,USD,50000000,50000000,USD,50000000,Series C,170000000,USD,170000000,170000000,USD,170000000,"Apple, Andreessen Horowitz, Alphabet, 20th Century Studios",4,"Greater New York Area, East Coast, Northeastern US","Media and Entertainment, Music and Audio, Sales and Marketing",,Low,,,,"Audio, Marketing, Media and Entertainment, Music, Music Label","Brooklyn, New York, United States",1
AgFunder,https://www.crunchbase.com/organization/agfunder,Stable,Private,For Profit,11-50,,Venture - Series Unknown,2020-08-04,"Micro VC, Venture Capital",2013-09-01,day,Active,,"Convertible Note, Early Stage Venture, Seed",3,4,,,,,,,,Venture - Series Unknown,2250000,USD,2250000,2250000,USD,2250000,"500 Global, PreAngel, PULSAR",3,"San Francisco Bay Area, West Coast, Western US","Agriculture and Farming, Financial Services, Food and Beverage",,Low,,,,"Agriculture, AgTech, FinTech, Food and Beverage","San Francisco, California, United States",126
Avalyn Pharma,https://www.crunchbase.com/organization/avalyn-pharma,Stable,Private,For Profit,11-50,,Series C,2023-09-27,,2011-01-01,day,Active,,,1,3,Late Stage Venture,175000000,USD,175000000,175000000,USD,175000000,Series C,272500000,USD,272500000,272500000,USD,272500000,"Wellington Management, Andera Partners, F-Prime Capital, Perceptive Advisors, Eight Roads Ventures",18,"Greater Seattle Area, West Coast, Western US","Biotechnology, Health Care, Science and Engineering",,Medium,,,,"Biopharma, Biotechnology, Medical, Pharmaceutical","Seattle, Washington, United States",
National Science Foundation,https://www.crunchbase.com/organization/national-science-foundation,Stable,Private,For Profit,1001-5000,,,,"Entrepreneurship Program, Government Office",1950-05-10,day,Active,,"Grant, Seed",2,,,,,,,,,,,,,,,,,,"Washington DC Metro Area, East Coast, Southern US","Data and Analytics, Design, Education, Government and Military, Hardware, Health Care, Internet Services, Mobile, Science and Engineering, Software, Sustainability",,Low,,,,"EdTech, Environmental Engineering, Government, Internet of Things, Market Research, Medical Device, Nanotechnology, Robotics, Semiconductor, Wireless","Alexandria, Virginia, United States","4,506"
STX Group,https://www.crunchbase.com/organization/stx-group,Stable,Private,For Profit,251-500,,Debt Financing,2023-04-13,,2005-01-01,year,Active,,,1,3,Seed,150000000,EUR,165779195,600000,EUR,880047,Seed,791968,EUR,1155756,150791968,EUR,166934951,Ludgate Investments,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Energy, Financial Services, Professional Services, Sustainability",,Low,,,,"Consulting, Environmental Consulting, Finance, Financial Services, Renewable Energy","Amsterdam, Noord-Holland, The Netherlands",
Amazon Seller Services,https://www.crunchbase.com/organization/amazon-seller-services-private-limited,Stable,Private,For Profit,5001-10000,,Corporate Round,2024-02-11,,2010-04-16,day,Active,,,,9,,8300000000,INR,99985173,8300000000,INR,99985173,Corporate Round,261900000000,INR,3648682797,261900000000,INR,3648682797,"Amazon, Amazon Corporate Holdings",2,Asia-Pacific (APAC),Commerce and Shopping,,Low,,,,"E-Commerce, Marketplace, Shopping","Bangalore, Karnataka, India",
Ornua,https://www.crunchbase.com/organization/ornua,Stable,Private,For Profit,5001-10000,"Made Acquisitions, Was Acquired",Debt Financing,2017-12-19,,1961-01-01,year,Active,,,,2,M&A,610000000,EUR,722070377,,,,,,,,1030000000,EUR,1288586827,"HSBC, Rabobank, Allied Irish Banks, Barclays Corporate Banking, Ulster Bank",6,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Agriculture and Farming, Food and Beverage, Transportation",,Low,,,,"Agriculture, Dairy, Farming, Food Delivery, Logistics, Supply Chain Management","Dublin, Dublin, Ireland",
Penn Medicine,https://www.crunchbase.com/organization/penn-medicine,Stable,Private,For Profit,10001+,Made Acquisitions,Grant,2023-01-03,,1765-01-01,year,Active,Yes,,,6,,9700000,USD,9700000,,,,,,,,70900000,USD,70900000,"National Institutes of Health, National Cancer Institute, National Institute of Diabetes and Digestive and Kidney Diseases, Warren Alpert Foundation",4,"Greater Philadelphia Area, Great Lakes, Northeastern US","Biotechnology, Education, Health Care, Science and Engineering",,Low,,,,"Biotechnology, Education, Health Care, Medical, Training","Philadelphia, Pennsylvania, United States",6
Vivriti Capital,https://www.crunchbase.com/organization/vivriti-capital,Stable,Private,For Profit,251-500,,Debt Financing,2023-12-12,Investment Bank,2017-01-01,year,Active,,,5,6,Late Stage Venture,2500000000,INR,29979133,6280000000,INR,82594466,Series C,190296038,USD,190296038,220275171,USD,220275171,"Axis Bank, Lightrock, Creation Investments Capital Management, LLC, TVS Capital Funds, GuarantCo",5,Asia-Pacific (APAC),"Commerce and Shopping, Data and Analytics, Financial Services, Lending and Investments",,Low,,,,"Analytics, Banking, Crowdfunding, Financial Services, FinTech, Marketplace","Chennai, Tamil Nadu, India",19
Perelel,https://www.crunchbase.com/organization/perelel,Stable,Private,For Profit,11-50,,Series A,2024-02-01,,2018-01-01,year,Active,,,1,2,Early Stage Venture,6000000,USD,6000000,6000000,USD,6000000,Series A,10700000,USD,10700000,10700000,USD,10700000,"Unilever Ventures, Willow Growth Partners, Selva Ventures, Carter Reum, Alexandra Weiss",15,"Greater Los Angeles Area, West Coast, Western US",Health Care,,Low,,,,"Health Care, Medical","Los Angeles, California, United States",
