Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
WestConnex,https://www.crunchbase.com/organization/westconnex,Growing,Private,For Profit,51-100,Was Acquired,Private Equity,2021-09-21,,2016-01-01,year,Active,,,,1,M&A,16600000000,USD,16600000000,16600000000,USD,16600000000,Private Equity,16600000000,USD,16600000000,16600000000,USD,16600000000,Caisse de Depot et Placement du Quebec,1,"Asia-Pacific (APAC), Australasia","Real Estate, Transportation",,Medium,,,,"Construction, Railroad, Transportation","Sydney, New South Wales, Australia",
Hengfeng Bank,https://www.crunchbase.com/organization/hengfeng-bank,,Private,For Profit,10001+,,Undisclosed,2019-12-18,,1987-11-23,day,Active,,,,1,,100000000000,CNY,14275517488,100000000000,CNY,14275517488,Undisclosed,100000000000,CNY,14275517488,100000000000,CNY,14275517488,"United Overseas Bank, Nanshan Capital, Central Huijin Investment",3,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,,,,,"Banking, Finance, Financial Services","Jinan, Shandong, China",
Ant Group,https://www.crunchbase.com/organization/ant-group,,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2022-11-01,,2014-10-01,month,Active,,,1,7,Late Stage Venture,6500000000,USD,6500000000,14000000000,USD,14000000000,Series C,18500000000,USD,18500000000,28500000000,USD,28500000000,"Warburg Pincus, Sequoia Capital, Silver Lake, The Carlyle Group, Banco Bilbao Vizcaya Argentaria",22,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Payments",,,,,,"Banking, Financial Services, FinTech, Payments","Hangzhou, Zhejiang, China",124
Aramco Oil Pipelines,https://www.crunchbase.com/organization/aramco-oil-pipelines,Growing,Private,For Profit,10001+,,Private Equity,2021-04-09,,1933-01-01,year,Active,,,,1,Private Equity,12400000000,USD,12400000000,12400000000,USD,12400000000,Private Equity,12400000000,USD,12400000000,12400000000,USD,12400000000,"Mubadala, EIG Global Energy Partners(EIG)",2,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Energy, Natural Resources, Science and Engineering",,,,,,"Chemical, Energy, Oil and Gas","Dhahran, Ash Sharqiyah, Saudi Arabia",4
OpenAI,https://www.crunchbase.com/organization/openai,,Private,For Profit,251-500,Made Acquisitions,Secondary Market,2024-02-16,"Micro VC, Venture Capital",2015-12-11,day,Active,,Early Stage Venture,11,7,,,,,10000000000,USD,10000000000,Corporate Round,11000120000,USD,11000120000,11300120000,USD,11300120000,"Khosla Ventures, Andreessen Horowitz, Thrive Capital, Sequoia Capital, Microsoft",17,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States",14
Allied Universal,https://www.crunchbase.com/organization/allied-universal,,Private,For Profit,10001+,"Made Acquisitions, Was Acquired",Private Equity,2019-09-01,,1957-01-01,year,Active,Yes,,1,2,M&A,9000000000,USD,9000000000,9000000000,USD,9000000000,Private Equity,9000000000,USD,9000000000,9000000000,USD,9000000000,"Warburg Pincus, Caisse de Depot et Placement du Quebec",2,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Privacy and Security, Software",,,,,,"Cyber Security, Information Technology, Security, Software","Santa Ana, California, United States",
Zimbabwe Investment and Development Agency,https://www.crunchbase.com/organization/zimbabwe-investment-and-development-agency,,Private,For Profit,101-250,,Undisclosed,2024-02-17,,2020-01-01,year,Active,,,,1,,8340000000,USD,8340000000,8340000000,USD,8340000000,Undisclosed,8340000000,USD,8340000000,8340000000,USD,8340000000,"Ajako United, Innermost Zimbabwe Resources",2,"Europe, Middle East, and Africa (EMEA)",Information Technology,,,,,,Management Information Systems,"Harare, NA - Zimbabwe, Zimbabwe",
1st Deposit & Commerce Bank,https://www.crunchbase.com/organization/1st-deposit-commerce-bank,,Private,For Profit,,,Private Equity,2022-10-19,,2021-01-01,year,Active,,,,1,Private Equity,7437450000,USD,7437450000,7437450000,USD,7437450000,Private Equity,7437450000,USD,7437450000,7437450000,USD,7437450000,,,"Greater Atlanta Area, East Coast, Southern US","Financial Services, Lending and Investments",,,,,,"Banking, Finance, Financial Services","Peachtree City, Georgia, United States",
Stripe,https://www.crunchbase.com/organization/stripe,Growing,Private,For Profit,5001-10000,Made Acquisitions,Secondary Market,2024-02-20,,2010-01-01,year,Active,,,2,19,Late Stage Venture,694159778,USD,694159778,6500000000,USD,6500000000,Series I,8735000000,USD,8735000000,9440247725,USD,9440247725,"Fidelity, Google, Khosla Ventures, Andreessen Horowitz, Sequoia Capital",57,"San Francisco Bay Area, West Coast, Western US","Financial Services, Mobile, Payments, Software",$10B+,High,,,,"Finance, FinTech, Mobile Payments, SaaS","South San Francisco, California, United States",70
Clarendon Arbitrage Fund,https://www.crunchbase.com/organization/clarendon-arbitrage-fund,,Private,For Profit,11-50,,Series C,1986-01-01,,1969-12-02,day,Active,,,,1,Late Stage Venture,3900000000,GBP,6468294576,3900000000,GBP,6468294576,Series C,3900000000,GBP,6468294576,3900000000,GBP,6468294576,,,"Europe, Middle East, and Africa (EMEA)",Financial Services,,,,,,"Finance, Financial Services","London, England, United Kingdom",
