Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
SOCALOCA,https://www.crunchbase.com/organization/socaloca,,Private,For Profit,11-50,,Seed,2024-10-09,,2024-01-16,day,Active,,,1,1,Seed,,,,,,,Seed,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Apps, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Mobile, Software, Sports",,,,,,"Generative AI, Machine Learning, Marketplace, Mobile Apps, SaaS, Soccer","Accra, Greater Accra, Ghana",
Groflex,https://www.crunchbase.com/organization/groflex,,Private,For Profit,11-50,,Seed,2024-10-01,,2024-01-01,year,Active,,,1,2,Seed,,,,,,,Seed,500000,EUR,544629,500000,EUR,544629,,,"San Francisco Bay Area, West Coast, Western US","Information Technology, Internet Services, Other, Software",,,,,,"Cloud Data Services, Enterprise Resource Planning (ERP), Small and Medium Businesses, Software","San Francisco, California, United States",
Konnect,https://www.crunchbase.com/organization/konnect-9406,,Private,For Profit,11-50,,Seed,2024-10-01,,2021-01-11,day,Active,,,1,3,Seed,1300000,USD,1300000,1300000,USD,1300000,Seed,1473641,USD,1473641,1473641,USD,1473641,"Flat6Labs, Founders Factory Africa, FIM Partners, Visa Accelerator, Flat6Labs Tunisia",5,"Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)","Financial Services, Mobile, Payments, Software",,,,,,"Financial Services, FinTech, Mobile Payments, Payments","Tunis, Tunis, Tunisia",
Galaxies,https://www.crunchbase.com/organization/galaxies-gaming,,Private,For Profit,11-50,,Seed,2024-10-01,,2022-03-25,day,Active,,,1,2,Seed,,,,,,,Seed,800000,USD,800000,800000,USD,800000,"Airborne Ventures, OutField Capital",2,Latin America,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Big Data, Consumer Research, Software","São Paulo, Sao Paulo, Brazil",
IOTC Real Asset,https://www.crunchbase.com/organization/iotc-real-asset,,Private,For Profit,1-10,,Series A,2024-10-01,,2024-08-14,day,Active,,,2,1,Early Stage Venture,100000,EUR,110989,100000,EUR,110989,Series A,100000,EUR,110989,100000,EUR,110989,IOTC Investments,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Real Estate",,,,,,"Commercial Real Estate, Property Management, Real Estate, Real Estate Investment","Dongen, Noord-Brabant, The Netherlands",
FamFund,https://www.crunchbase.com/organization/famfund,,Private,For Profit,1-10,,Pre-Seed,2024-10-01,,2024-09-01,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"Greater Seattle Area, West Coast, Western US","Financial Services, Lending and Investments",,,,,,"Banking, Financial Services, FinTech","Seattle, Washington, United States",
Gamers Home,https://www.crunchbase.com/organization/gamers-home,,Private,For Profit,1-10,,Pre-Seed,2024-10-01,,2023-05-02,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,"Hesham Zreik, Bashar Hamood, FasterCapital",,"Greater Philadelphia Area, East Coast, Southern US","Commerce and Shopping, Gaming, Software",,,,,,"Gaming, Marketplace, SaaS","Wilmington, Delaware, United States",
Provenioai,https://www.crunchbase.com/organization/provenioai,,Private,For Profit,11-50,,Seed,2024-09-26,,2018-01-01,year,Active,,,3,1,Seed,,,,,,,Seed,,,,,,,,,"Asia-Pacific (APAC), Australasia","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,,,,"Artificial Intelligence (AI), Logistics, Machine Learning, Supply Chain Management","Sydney, New South Wales, Australia",
Mr. Winston Restaurant POS,https://www.crunchbase.com/organization/mr-winston-hospitality-systems,Growing,Private,For Profit,1-10,,Seed,2024-09-23,,2017-08-01,month,Active,,,1,2,Seed,250000,EUR,277194,250000,EUR,277194,Seed,850000,EUR,923424,850000,EUR,923424,Jeroen ter Huurne,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Food and Beverage, Information Technology, Internet Services, Software, Travel and Tourism",,High,,,,"Business Information Systems, Cloud Management, Hospitality, Point of Sale, Restaurants, SaaS","Tilburg, Noord-Brabant, The Netherlands",
Minimist,https://www.crunchbase.com/organization/minimist,,Private,For Profit,1-10,,Pre-Seed,2024-09-19,,2024-07-01,month,Active,,,2,1,Seed,120000,EUR,133021,120000,EUR,133021,Pre-Seed,120000,EUR,133021,120000,EUR,133021,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Computer Vision, E-Commerce Platforms, Information Technology, Machine Learning, Marketplace, Sharing Economy","Vienna, Wien, Austria",
PluggableAI,https://www.crunchbase.com/organization/pluggable-ai,,Private,For Profit,1-10,,Seed,2024-09-17,,2022-11-17,day,Active,,,,2,Seed,1750000,EUR,1933076,1750000,EUR,1933076,Seed,1850001,EUR,2042012,1850001,EUR,2042012,Portugal Ventures,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Digital Marketing, Machine Learning, Software","Braga, Braga, Portugal",
Hoola,https://www.crunchbase.com/organization/hoola,,Private,For Profit,1-10,,Pre-Seed,2024-09-16,,2023-10-19,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Software",,,,,,"E-Commerce, Software","Berlin, Berlin, Germany",
Crosstown H2R,https://www.crunchbase.com/organization/crosstown-h2r,Growing,Private,For Profit,1-10,,Seed,2024-09-15,,2022-01-01,year,Active,,,2,2,Seed,3000000,CHF,3540015,3000000,CHF,3540015,Seed,3000000,CHF,3540015,5714694,USD,5714694,"Climate Insiders, Swiss Federal office of Energy",2,"Europe, Middle East, and Africa (EMEA)","Energy, Manufacturing, Natural Resources",,High,,,,"Manufacturing, Oil and Gas","Baden, Aargau, Switzerland",
Exergy3,https://www.crunchbase.com/organization/exergy3,Growing,Private,For Profit,1-10,,Pre-Seed,2024-09-12,,2023-01-01,year,Active,,,,4,Seed,1000000,GBP,1304625,1000000,GBP,1304625,Pre-Seed,1000000,GBP,1304625,8800000,GBP,10947523,"Scottish Enterprise, Department for Science, Innovation and Technology (DSIT), UK Government, Zero Carbon Capital, Old College Capital",5,"Europe, Middle East, and Africa (EMEA)","Energy, Sustainability",,High,,,,"Clean Energy, Energy Storage, Renewable Energy","Queensferry, Edinburgh, City of, United Kingdom",
InMobi,https://www.crunchbase.com/organization/inmobi,Growing,Private,For Profit,501-1000,Made Acquisitions,Debt Financing,2024-09-11,,2007-01-01,month,Active,,,5,9,,100000000,USD,100000000,,,,Venture - Series Unknown,220600000,USD,220600000,420600000,USD,420600000,"Hercules Capital, Mumbai Angels, Kleiner Perkins, Mars Growth Capital, Silicon Valley Bank",11,Asia-Pacific (APAC),"Advertising, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",,High,,,,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Media, Marketing","Bangalore, Karnataka, India",1
Funding Societies,https://www.crunchbase.com/organization/funding-societies,Growing,Private,For Profit,501-1000,Made Acquisitions,Private Equity,2024-09-11,,2015-01-01,year,Active,,,2,18,Private Equity,,,,,,,Private Equity,226451165,USD,226451165,594594842,USD,594594842,"Helicap, 500 Global, Khazanah Nasional, Peak XV Partners, Line",33,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Financial Services, Lending and Investments",,High,,,,"Financial Services, FinTech, Funding Platform, Lending","Singapore, Central Region, Singapore",1
