Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Rainmatter Capital,https://www.crunchbase.com/organization/rainmatter-capital,Growing,Private,For Profit,1-10,,Corporate Round,2023-08-10,Incubator,2016-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Seed",1,1,,1000000000,INR,12077274,1000000000,INR,12077274,Corporate Round,1000000000,INR,12077274,1000000000,INR,12077274,Zerodha,1,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Financial Services, FinTech, Venture Capital","Bengalooru, Karnataka, India",104
TON Provider,https://www.crunchbase.com/organization/ton-provider,Growing,Private,For Profit,1-10,,Seed,2023-11-29,,2021-09-15,day,Active,,,1,2,Seed,2500000,USD,2500000,2500000,USD,2500000,Seed,4134090,USD,4134090,4134090,USD,4134090,,,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Hardware, Information Technology, Internet Services, Other, Software",,High,,,,"Blockchain, Data Center, Information Technology, Infrastructure, Internet, IT Infrastructure, Network Hardware, Software","Zürich, Zurich, Switzerland",
Decipial Foundation,https://www.crunchbase.com/organization/decipial-foundation,,Private,Non-profit,1-10,,Pre-Seed,2024-08-05,,2015-03-03,day,Active,,,2,4,Seed,600000,CHF,707044,600000,CHF,707044,Pre-Seed,1157044,USD,1157044,1157044,USD,1157044,,,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Hardware, Information Technology, Internet Services, Software",,,,,,"Data Center, Information Technology, Internet, Software, Web3","Geneva, Geneve, Switzerland",
Bland AI,https://www.crunchbase.com/organization/bland-ai,,Private,For Profit,1-10,,Series A,2024-08-28,,2023-01-01,year,Active,,,2,2,Early Stage Venture,16000000,USD,16000000,16000000,USD,16000000,Series A,16000000,USD,16000000,16000000,USD,16000000,"Y Combinator, Scale Venture Partners, Upfront Ventures, Team Ignite Ventures, Jeff Lawson",8,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Infrastructure, Machine Learning, Telecommunications","San Francisco, California, United States",
Baller Mixed Reality,https://www.crunchbase.com/organization/baller-mixed-reality,,Private,For Profit,1-10,Was Acquired,Seed,2022-03-15,,2021-02-15,day,Active,,,1,2,M&A,3000000,USD,3000000,3000000,USD,3000000,Seed,3150000,USD,3150000,3150000,USD,3150000,,,"Greater Miami Area, East Coast, Southern US","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Other, Science and Engineering, Software, Sports",,,,,,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Blockchain, Collectibles, Media and Entertainment, Metaverse, Semantic Web, Sports","Miami Beach, Florida, United States",
Bridge,https://www.crunchbase.com/organization/bridge-05d0,,Private,For Profit,1-10,,Series A,2024-08-29,,2022-01-01,year,Active,,,,1,Early Stage Venture,58000000,USD,58000000,58000000,USD,58000000,Series A,58000000,USD,58000000,58000000,USD,58000000,"Sequoia, Ribbit Capital, Index Ventures, Haun Ventures",4,Southern US,"Financial Services, Software",,,,,,"Developer Tools, Financial Services, FinTech, Software","San Antonio, Texas, United States",
Cognition,https://www.crunchbase.com/organization/cognition-5bd7,,Private,For Profit,1-10,,Series A,2024-04-24,,2023-11-01,month,Active,,,1,2,Early Stage Venture,175000000,USD,175000000,175000000,USD,175000000,Series A,196000000,USD,196000000,196000000,USD,196000000,"Pear VC, Founders Fund, Elad Gil, Karim Atiyeh, Fred Ehrsam",12,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Generative AI, Information Technology, Internet","San Francisco, California, United States",
Optimism,https://www.crunchbase.com/organization/optimism,,Private,For Profit,1-10,,Undisclosed,2022-11-30,,2019-01-01,year,Active,,,3,4,,,,,,,,Undisclosed,178500000,USD,178500000,178500000,USD,178500000,"Andreessen Horowitz, Wintermute Ventures, Nascent, Paradigm, Cynegetic Investment Management",6,"Greater New York Area, East Coast, Northeastern US","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,,,"Blockchain, Cryptocurrency, Ethereum, FinTech, Smart Contracts","New York, New York, United States",2
Slingshot AI,https://www.crunchbase.com/organization/slingshot-ai,,Private,For Profit,1-10,,Seed,2024-08-20,,2022-01-01,year,Active,,,,1,Seed,30000000,USD,30000000,30000000,USD,30000000,Seed,30000000,USD,30000000,30000000,USD,30000000,"Andreessen Horowitz, Gokul Rajaram, Felicis, Arjun Sethi, Cory Levy",12,"Greater New York Area, East Coast, Northeastern US","Information Technology, Internet Services, Software",,,,,,"Cloud Data Services, Software, Web Development","New York, New York, United States",
Ideogram,https://www.crunchbase.com/organization/ideogram,Growing,Private,For Profit,1-10,,Series A,2024-02-28,,2022-01-01,year,Active,,,,2,Early Stage Venture,80000000,CAD,58919534,80000000,CAD,58919534,Series A,102300000,CAD,75376856,102300000,CAD,75376856,"Andreessen Horowitz, Index Ventures, Redpoint, SV Angel, Pear VC",11,Great Lakes,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Generative AI, Information Technology, Internet","Toronto, Ontario, Canada",
Anysphere,https://www.crunchbase.com/organization/anysphere,Growing,Private,For Profit,1-10,,Series A,2024-07-15,,2022-01-06,day,Active,,,4,3,Early Stage Venture,60000000,USD,60000000,60000000,USD,60000000,Series A,68400000,USD,68400000,68400000,USD,68400000,"Thrive Capital, Andreessen Horowitz, Nat Friedman, OpenAI Startup Fund, Patrick Collison",8,"Great Lakes, East Coast, Northeastern US","Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Machine Learning, Product Design, Software Engineering","Buffalo, New York, United States",
Portex,https://www.crunchbase.com/organization/portex-dde7,,Private,For Profit,1-10,,Seed,2024-09-05,,2021-01-01,year,Active,,,,1,Seed,6250000,USD,6250000,6250000,USD,6250000,Seed,6250000,USD,6250000,6250000,USD,6250000,"Susa Ventures, Cowboy Ventures, Base10 Partners, Footwork",4,"San Francisco Bay Area, Silicon Valley, West Coast",Transportation,,,,,,"Delivery Service, Freight Service, Logistics","Hayward, California, United States",
Napkin AI,https://www.crunchbase.com/organization/napkin-ai,,Private,For Profit,1-10,,Seed,2024-08-07,,2021-10-01,month,Active,,,2,1,Seed,10000000,USD,10000000,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,"Accel, CRV",2,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Design, Software",,,,,,"Generative AI, Graphic Design, Presentation Software, Productivity Tools, Software","Los Altos, California, United States",
