Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
DHARMA,https://www.crunchbase.com/organization/dharma-c251,,Private,For Profit,51-100,,Convertible Note,2024-10-15,,2021-01-18,day,Active,,,4,8,Seed,750000,USD,750000,4700000,USD,4700000,Seed,7767000,USD,7767000,10517995,USD,10517995,"Flat6Labs, FJ Labs, Goodwater Capital, Shorooq Partners, Scrum Ventures",15,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Media and Entertainment, Other, Travel and Tourism",,,,,,"Consumer, Content Creators, Hospitality, Tourism, Travel","Abu Dhabi, Abu Dhabi, United Arab Emirates",
SOCALOCA,https://www.crunchbase.com/organization/socaloca,,Private,For Profit,11-50,,Seed,2024-10-09,,2024-01-16,day,Active,,,1,1,Seed,,,,,,,Seed,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Apps, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Mobile, Software, Sports",,,,,,"Generative AI, Machine Learning, Marketplace, Mobile Apps, SaaS, Soccer","Accra, Greater Accra, Ghana",
Groflex,https://www.crunchbase.com/organization/groflex,,Private,For Profit,11-50,,Seed,2024-10-01,,2024-01-01,year,Active,,,1,2,Seed,,,,,,,Seed,500000,EUR,544629,500000,EUR,544629,,,"San Francisco Bay Area, West Coast, Western US","Information Technology, Internet Services, Other, Software",,,,,,"Cloud Data Services, Enterprise Resource Planning (ERP), Small and Medium Businesses, Software","San Francisco, California, United States",
Konnect,https://www.crunchbase.com/organization/konnect-9406,,Private,For Profit,11-50,,Seed,2024-10-01,,2021-01-11,day,Active,,,1,3,Seed,1300000,USD,1300000,1300000,USD,1300000,Seed,1473641,USD,1473641,1473641,USD,1473641,"Flat6Labs, Founders Factory Africa, FIM Partners, Visa Accelerator, Flat6Labs Tunisia",5,"Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)","Financial Services, Mobile, Payments, Software",,,,,,"Financial Services, FinTech, Mobile Payments, Payments","Tunis, Tunis, Tunisia",
Galaxies,https://www.crunchbase.com/organization/galaxies-gaming,,Private,For Profit,11-50,,Seed,2024-10-01,,2022-03-25,day,Active,,,1,2,Seed,,,,,,,Seed,800000,USD,800000,800000,USD,800000,"Airborne Ventures, OutField Capital",2,Latin America,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Big Data, Consumer Research, Software","São Paulo, Sao Paulo, Brazil",
IOTC Real Asset,https://www.crunchbase.com/organization/iotc-real-asset,,Private,For Profit,1-10,,Series A,2024-10-01,,2024-08-14,day,Active,,,2,1,Early Stage Venture,100000,EUR,110989,100000,EUR,110989,Series A,100000,EUR,110989,100000,EUR,110989,IOTC Investments,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Real Estate",,,,,,"Commercial Real Estate, Property Management, Real Estate, Real Estate Investment","Dongen, Noord-Brabant, The Netherlands",
FamFund,https://www.crunchbase.com/organization/famfund,,Private,For Profit,1-10,,Pre-Seed,2024-10-01,,2024-09-01,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"Greater Seattle Area, West Coast, Western US","Financial Services, Lending and Investments",,,,,,"Banking, Financial Services, FinTech","Seattle, Washington, United States",
Gamers Home,https://www.crunchbase.com/organization/gamers-home,,Private,For Profit,1-10,,Pre-Seed,2024-10-01,,2023-05-02,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,"Hesham Zreik, Bashar Hamood, FasterCapital",,"Greater Philadelphia Area, East Coast, Southern US","Commerce and Shopping, Gaming, Software",,,,,,"Gaming, Marketplace, SaaS","Wilmington, Delaware, United States",
Origin Robotics,https://www.crunchbase.com/organization/origin-robotics,,Private,For Profit,11-50,,Seed,2024-09-30,,2022-03-18,day,Active,,,2,1,Seed,2300000,EUR,2559916,2300000,EUR,2559916,Seed,2300000,EUR,2559916,2300000,EUR,2559916,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Government and Military, Hardware, Information Technology, Science and Engineering, Software",,,,,,"Aerospace, Government, Military, Robotics","Riga, Riga, Latvia",
Provenioai,https://www.crunchbase.com/organization/provenioai,,Private,For Profit,11-50,,Seed,2024-09-26,,2018-01-01,year,Active,,,3,1,Seed,,,,,,,Seed,,,,,,,,,"Asia-Pacific (APAC), Australasia","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,,,,"Artificial Intelligence (AI), Logistics, Machine Learning, Supply Chain Management","Sydney, New South Wales, Australia",
