Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Australian Renewable Energy Agency,https://www.crunchbase.com/organization/australian-renewable-energy-agency,Growing,Private,For Profit,51-100,,Undisclosed,2022-01-10,Government Office,2012-01-01,year,Active,,,,1,,40000000,USD,40000000,40000000,USD,40000000,Undisclosed,40000000,USD,40000000,40000000,USD,40000000,,,"Asia-Pacific (APAC), Australasia","Energy, Government and Military, Sustainability",,Medium,,,,"Energy, Energy Efficiency, Government, Renewable Energy","Canberra, Australian Capital Territory, Australia",419
webAI,https://www.crunchbase.com/organization/iris-inc,Growing,Private,For Profit,51-100,,Undisclosed,2024-09-10,,2020-01-01,day,Active,,,5,3,,,,,,,,Undisclosed,77000000,USD,77000000,77000000,USD,77000000,"G2 Venture Partners, Benchmark, Blockchange Ventures, EPIQ Capital Group, Forerunner",8,"Great Lakes, Midwestern US","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Blockchain, Information Technology, Machine Learning","Grand Rapids, Michigan, United States",
Circana,https://www.crunchbase.com/organization/circana,Growing,Private,For Profit,5001-10000,Made Acquisitions,Undisclosed,2024-04-23,,1966-01-01,year,Active,,,,1,,1200000000,USD,1200000000,1200000000,USD,1200000000,Undisclosed,1200000000,USD,1200000000,1200000000,USD,1200000000,Vestar Capital Partners,1,"Greater Chicago Area, Great Lakes, Midwestern US","Data and Analytics, Design",,High,,,,Market Research,"Chicago, Illinois, United States",
Optimism,https://www.crunchbase.com/organization/optimism,,Private,For Profit,1-10,,Undisclosed,2022-11-30,,2019-01-01,year,Active,,,3,4,,,,,,,,Undisclosed,178500000,USD,178500000,178500000,USD,178500000,"Andreessen Horowitz, Wintermute Ventures, Nascent, Paradigm, Cynegetic Investment Management",6,"Greater New York Area, East Coast, Northeastern US","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,,,"Blockchain, Cryptocurrency, Ethereum, FinTech, Smart Contracts","New York, New York, United States",2
1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Growing,Private,For Profit,101-250,,Undisclosed,2022-06-01,"Corporate Venture Capital, Startup Competition",2020-07-09,day,Active,,"Grant, Venture",2,8,,,,,,,,Undisclosed,189800000,USD,189800000,189800000,USD,189800000,"Amber Group, Greenfield, IOSG Ventures, Galaxy Digital, FTX",42,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Content and Publishing, Data and Analytics, Financial Services, Information Technology, Other, Payments, Science and Engineering, Social Impact, Software",,,,,,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software","Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis",3
StartEngine,https://www.crunchbase.com/organization/start-engine,,Private,For Profit,51-100,Made Acquisitions,Undisclosed,2024-07-23,Angel Group,2014-01-01,day,Active,,Crowdfunding,3,13,,93750,USD,93750,93750,USD,93750,Undisclosed,90943299,USD,90943299,90943299,USD,90943299,"Pario Ventures, BAM Ventures, Sunmeet Jolly, Meyer Global Management, Erik Peterson",15,"Greater Los Angeles Area, West Coast, Western US","Financial Services, Lending and Investments",,,,,,"Crowdfunding, Finance, Financial Services, FinTech, Funding Platform","Los Angeles, California, United States",215
Founders Factory,https://www.crunchbase.com/organization/founders-factory,Growing,Private,For Profit,51-100,,Undisclosed,2023-07-24,"Accelerator, Incubator",2015-01-01,year,Active,,"Convertible Note, Early Stage Venture, Grant, Seed",5,10,,12000000,EUR,13275643,12000000,EUR,13275643,Undisclosed,26895650,USD,26895650,26895650,USD,26895650,"L'Oreal, EasyJet, Mediobanca Banca di Credito Finanziario S.p.A., Aviva Investors, Aviva Group",9,"Europe, Middle East, and Africa (EMEA)","Financial Services, Hardware, Health Care, Media and Entertainment, Other, Software, Sustainability",,Medium,,,,"CleanTech, Consumer, FinTech, GreenTech, Health Care, Media and Entertainment, SaaS, Telecommunications","London, England, United Kingdom",135
Red Lobster,https://www.crunchbase.com/organization/red-lobster,Not Growing,Private,For Profit,10001+,Was Acquired,Undisclosed,2016-10-11,,1968-01-01,year,Active,,,2,1,M&A,575000001,USD,575000001,575000001,USD,575000001,Undisclosed,575000001,USD,575000001,575000001,USD,575000001,Thai Union Group,1,"Greater Miami Area, East Coast, Southern US",Food and Beverage,,High,,,,"Restaurants, Seafood","Miami, Florida, United States",
Hulu,https://www.crunchbase.com/organization/hulu,Stable,Private,For Profit,1001-5000,"Made Acquisitions, Was Acquired",Undisclosed,2016-08-03,,2007-03-01,day,Active,,,2,3,M&A,583000000,USD,583000000,583000000,USD,583000000,Undisclosed,683000000,USD,683000000,683000000,USD,683000000,"The Walt Disney Company, Providence Equity Partners, WarnerMedia",3,"Greater Los Angeles Area, West Coast, Western US","Content and Publishing, Media and Entertainment, Video",,Medium,,,,"Content, Film, TV, Video, Video Streaming","Los Angeles, California, United States",
Gloo,https://www.crunchbase.com/organization/gloo-2,,Private,For Profit,101-250,Made Acquisitions,Undisclosed,2024-07-31,,2012-01-01,year,Active,,,2,2,,110000000,USD,110000000,110000000,USD,110000000,Undisclosed,110000000,USD,110000000,151563500,USD,151563500,,,"Greater Denver Area, Western US","Apps, Data and Analytics, Information Technology, Software",,,,,,"Analytics, Apps, Information Technology, Software","Boulder, Colorado, United States",
