Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
The VERT,https://www.crunchbase.com/organization/the-vert,,Private,For Profit,1-10,,Pre-Seed,2024-09-01,,2021-01-01,year,Active,,,1,3,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,2192645,USD,2192645,European Union,1,"Europe, Middle East, and Africa (EMEA)","Information Technology, Real Estate, Software, Sustainability",,,,,,"Architecture, Carbon Capture, Construction, Green Building, GreenTech, Information Technology, SaaS, Software, Sustainability","London, England, United Kingdom",
Rise People,https://www.crunchbase.com/organization/paysavvy,,Private,For Profit,101-250,Made Acquisitions,Seed,2020-02-01,,2011-10-01,day,Active,,,1,7,Seed,,CAD,,,CAD,,Seed,,CAD,,1500000,USD,1500000,"Espresso Capital, TIMIA Capital, Startup Edmonton",3,,"Administrative Services, Financial Services, Other, Software",,,,,,"B2B, Human Resources, InsurTech, Software","Burnaby, British Columbia, Canada",
Spheron ABU,https://www.crunchbase.com/organization/spheron,Growing,Private,Non-profit,11-50,,Seed,2022-05-01,,2022-01-01,year,Active,,,,2,Seed,1000,IDR,,1000,IDR,,Seed,1000,IDR,,1000,IDR,,"3one4 Capital, iSeed, Alpha Wave Global, Zee Prime Capital, Tykhe Block Ventures",8,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Hardware, Information Technology, Internet Services, Software",,,,,,"Cloud Computing, Cloud Infrastructure, Information Technology, Software","Tel Aviv, Tel Aviv, Israel",
NovoGrid,https://www.crunchbase.com/organization/novogrid,,Private,For Profit,1-10,,Convertible Note,2019-12-31,,2014-09-15,day,Active,,,3,4,Seed,250000,EUR,280498,,EUR,,Pre-Seed,,EUR,,427500,EUR,482615,"NDRC, MDR Capital, eDot Invest",3,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Energy, Financial Services, Lending and Investments, Natural Resources, Software, Sustainability, Transportation",,,,,,"Battery, Clean Energy, Electric Vehicle, Electrical Distribution, Energy, Power Grid, Software, Solar, Trading Platform, Wind Energy","Dublin, Dublin, Ireland",
Aetherium Gaming,https://www.crunchbase.com/organization/aetherium-gaming,,Private,For Profit,1-10,,Pre-Seed,2024-08-14,,2023-06-14,day,Active,,,2,1,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,,GBP,,,,"Europe, Middle East, and Africa (EMEA)",Gaming,,,,,,"Gaming, Online Games, Video Games","London, England, United Kingdom",
Metaschool,https://www.crunchbase.com/organization/metaschool,,Private,For Profit,11-50,,Seed,2022-09-23,,2022-01-01,year,Active,,,1,1,Seed,1,AED,,1,AED,,Seed,1,AED,,1,AED,,"Blockchain Founders Fund, Goodwater Capital, MCE Group",3,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Blockchain and Cryptocurrency, Education, Internet Services, Software",,,,,,"E-Learning, Web3","Singapore, Central Region, Singapore",
Digital Class: Edtech Marketplace,https://www.crunchbase.com/organization/digital-class-e-learning-marketplace,Growing,Private,For Profit,11-50,,Angel,2020-06-21,,2017-05-25,day,Active,,,1,1,Seed,,INR,,,INR,,Angel,,INR,,,INR,,,,Asia-Pacific (APAC),"Commerce and Shopping, Education, Software",,,,,,"EdTech, Marketplace","Ahmedabad, Gujarat, India",
Ignota Labs,https://www.crunchbase.com/organization/ignota-labs,Growing,Private,For Profit,1-10,,Pre-Seed,2022-10-11,,2021-01-01,year,Active,,,2,1,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,,GBP,,"Sustainable Ventures, Discovery Park Ventures",2,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Pharmaceutical","London, England, United Kingdom",
2Censor Pty Ltd,https://www.crunchbase.com/organization/2censor-pty-ltd,,Private,For Profit,1-10,,Seed,2024-06-01,,2019-09-06,day,Active,,,2,1,Seed,,AUD,,,AUD,,Seed,,AUD,,,AUD,,,,"Asia-Pacific (APAC), Australasia","Internet Services, Natural Resources",,,,,,"Internet of Things, Mining, Mining Technology","Mackay, Queensland, Australia",
hungerhub,https://www.crunchbase.com/organization/hungerhub,Growing,Private,For Profit,11-50,,Pre-Seed,2018-10-17,,2018-10-17,day,Active,,,1,1,Seed,,CAD,,,CAD,,Pre-Seed,,CAD,,,CAD,,,,Great Lakes,"Apps, Commerce and Shopping, Food and Beverage, Other, Software, Transportation",,High,,,,"B2B, E-Commerce, Enterprise Applications, Food Delivery, Logistics","Toronto, Ontario, Canada",
