Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
On Deck,https://www.crunchbase.com/organization/on-deck-a441,,Private,For Profit,101-250,,Seed,2022-07-01,Accelerator,2019-01-01,year,Active,,,20,6,Seed,,,,,,,Seed,20000000,USD,20000000,20000000,USD,20000000,"Alumni Ventures, Founders Fund, DCVC, Bloomberg Beta, Pioneer Fund",41,"San Francisco Bay Area, West Coast, Western US","Community and Lifestyle, Content and Publishing, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Other, Professional Services",,,,,,"Angel Investment, Finance, Financial Services, Innovation Management, Internet, Online Forums, Professional Networking, Professional Services, Publishing, Venture Capital","San Francisco, California, United States",68
NewCo,https://www.crunchbase.com/organization/newco-3,,Private,For Profit,11-50,,Seed,2016-03-09,,2012-01-01,year,Active,,,20,3,Seed,6054645,USD,6054645,6054645,USD,6054645,Seed,7754645,USD,7754645,8454645,USD,8454645,"Obvious Ventures, Bloomberg Beta, Slow Ventures, True Ventures, Transmedia Capital",7,"San Francisco Bay Area, West Coast, Western US","Advertising, Events, Media and Entertainment, Other",,,,,,"Advertising Platforms, B2B, Digital Media, Events, Small and Medium Businesses","San Francisco, California, United States",
Claimbrite,https://www.crunchbase.com/organization/stealth-startup-6167,,Private,For Profit,11-50,,Non-equity Assistance,2024-01-24,,2024-01-01,month,Active,,,20,2,Seed,,,,,,,Pre-Seed,,,,,,,"Triangle Tweener Fund, CyberTech|X Accelerator",2,"Greater Denver Area, Western US","Financial Services, Information Technology",,,,,,"Information Technology, Insurance","Boulder, Colorado, United States",
Other.,https://www.crunchbase.com/organization/other,,Private,For Profit,11-50,,,,,2014-01-01,year,Active,,,20,,,,,,,,,,,,,,,,,,Great Lakes,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing",,,,,,"Advertising, Content Marketing, Digital Marketing, Email, SEO, Social Media Marketing","Toronto, Ontario, Canada",
Founder Institute,https://www.crunchbase.com/organization/founder-institute,,Private,For Profit,11-50,,,,"Accelerator, Entrepreneurship Program",2009-04-16,day,Active,,"Early Stage Venture, Seed",20,,,,,,,,,,,,,,,,,,"San Francisco Bay Area, Silicon Valley, West Coast","Education, Events, Financial Services, Lending and Investments, Media and Entertainment",,,,,,"Events, Training, Venture Capital","Palo Alto, California, United States",23
stealth,https://www.crunchbase.com/organization/ammanuel-co,,Private,For Profit,11-50,Was Acquired,Pre-Seed,2023-05-01,,2016-01-01,year,Active,,,20,2,M&A,,,,,,,Pre-Seed,,,,,,,Redbud VC,1,Great Lakes,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Software",,,,,,"Apps, Information Technology, Internet of Things, Messaging","Woodbridge, Ontario, Canada",
Stealth Mode Startup,https://www.crunchbase.com/organization/stealth-mode-startup,,Private,For Profit,,,,,,2001-01-01,year,Active,,,20,,,,,,,,,,,,,,,,,,"Greater Chicago Area, Great Lakes, Midwestern US","Information Technology, Real Estate, Software",,,,,,"Architecture, DevOps, Information Technology, Software","Chicago, Illinois, United States",
Definitive Intelligence,https://www.crunchbase.com/organization/karat-35d0,,Private,For Profit,11-50,Made Acquisitions,Seed,2022-04-04,,2021-01-01,year,Active,,,20,7,Seed,,,,,,,Seed,,,,,,,Vine Ventures,1,"San Francisco Bay Area, Silicon Valley, West Coast",Software,,,,,,Software,"Los Altos, California, United States",
Clube Atlético Mineiro,https://www.crunchbase.com/organization/clube-atlético-mineiro,,Private,For Profit,501-1000,,,,,1908-01-01,year,Active,,,20,,,,,,,,,,,,,,,,,,Latin America,"Events, Media and Entertainment, Sports",,,,,,"Events, Soccer, Sports","Belo Horizonte, Minas Gerais, Brazil",
National Academy of Engineering,https://www.crunchbase.com/organization/national-academy-of-engineering,,Private,Non-profit,1001-5000,,,,,1964-01-01,year,Active,,,20,,,,,,,,,,,,,,,,,,"Washington DC Metro Area, Southern US","Education, Other, Social Impact",,,,,,"Education, Non Profit","Washington, District of Columbia, United States",
Jaraguá Clube Campestre,https://www.crunchbase.com/organization/jaraguá-clube-campestre,,Private,For Profit,11-50,,,,,1917-07-01,month,Active,,,20,,,,,,,,,,,,,,,,,,Latin America,"Community and Lifestyle, Events, Media and Entertainment, Sports",,,,,,"Events, Leisure, Soccer, Sports, Tennis","Jardim, Sao Paulo, Brazil",
1000C,https://www.crunchbase.com/organization/stealth-mode-startup-company,,Private,For Profit,11-50,,,,,,,Active,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Driver,https://www.crunchbase.com/organization/local-driver,,Private,For Profit,,,,,,2021-11-29,day,Active,,,20,,,,,,,,,,,,,,,,,,Great Lakes,"Food and Beverage, Transportation",,,,,,"Delivery Service, Food Delivery, Ride Sharing, Transportation","Toronto, Ontario, Canada",
Círculo de Empresarios,https://www.crunchbase.com/organization/círculo-de-empresarios,,Private,Non-profit,11-50,,,,,1977-01-01,year,Active,,,20,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Other, Professional Services, Social Impact",,,,,,"Association, Consulting, Non Profit","Madrid, Madrid, Spain",
Texas Women’s Foundation,https://www.crunchbase.com/organization/texas-women-s-foundation,,Private,Non-profit,11-50,,Grant,2022-07-07,,1985-01-01,year,Active,,,19,1,,,,,,,,,,,,,,,Blue Cross and Blue Shield of Texas,1,"Dallas/Fort Worth Metroplex, Southern US","Community and Lifestyle, Media and Entertainment, Other, Social Impact",,,,,,"Advice, Non Profit, Women's","Dallas, Texas, United States",
Hackers/Founders,https://www.crunchbase.com/organization/hackersfounders,,Private,For Profit,11-50,,Seed,2018-08-01,,2008-04-01,month,Active,,,18,3,Seed,,,,,,,Seed,295000,USD,295000,295000,USD,295000,"HookLogic, DeNA, Brian York, Chris Sang, Leo Polovets",40,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,"San Jose, California, United States",2
Massachusetts Association of Minority Law Enforcement Officers,https://www.crunchbase.com/organization/massachusetts-association-of-minority-law-enforcement-officers,,Private,Non-profit,11-50,,Grant,2018-12-14,,1968-01-01,year,Active,,,18,1,,5000,USD,5000,,,,,,,,5000,USD,5000,The Boston Foundation,1,"Greater Boston Area, East Coast, New England","Government and Military, Other, Privacy and Security, Social Impact",,,,,,"Law Enforcement, Non Profit","Boston, Massachusetts, United States",
Vidrio,https://www.crunchbase.com/organization/vidrio-d529,,Private,For Profit,1-10,Was Acquired,,,,2014-01-01,year,Active,,,18,,M&A,,,,,,,,,,,,,,,,"Washington DC Metro Area, East Coast, Southern US","Information Technology, Professional Services, Software",,,,,,"Consulting, Information Technology, Software","Leesburg, Virginia, United States",
ASCCP,https://www.crunchbase.com/organization/asccp,,Private,For Profit,1-10,,,,,1964-01-01,year,Active,,,17,,,,,,,,,,,,,,,,,,"Washington DC Metro Area, East Coast, Southern US","Education, Health Care",,,,,,"Education, Health Care, Health Diagnostics","Clarksburg, Maryland, United States",
Instituto Oswaldo Ribeiro de Mendonça,https://www.crunchbase.com/organization/instituto-oswaldo-ribeiro-de-mendonça,,Private,Non-profit,11-50,,,,,2005-08-05,day,Active,,,17,,,,,,,,,,,,,,,,,,Latin America,"Education, Other, Social Impact",,,,,,"Association, Education, Non Profit","Bela Vista, Sao Paulo, Brazil",
