Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Liberis,Private,For Profit,101-250,Debt Financing,2023-12-06,2007-01-01,year,Active,2.0,8.0,111764817.0,45141033.0,87202464.0,558088006.0,"FTV Capital, Silicon Valley Bank, HSBC Innovation Banking, Blenheim Chalcot, Barclays Bank",12.0,"West Coast, Western US","Financial Services, Software","Financial Services, FinTech, Software","White City, Oregon, United States"
Semperis,Private,For Profit,251-500,Series C,2024-06-20,2014-05-15,day,Active,3.0,9.0,125000000.0,125000000.0,373300000.0,498300000.0,"Hercules Capital, Kohlberg Kravis Roberts, JP Morgan, Insight Partners, Atrium Companies",19.0,"Greater New York Area, East Coast, Northeastern US","Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Identity Management, Information Technology","Hoboken, New Jersey, United States"
Re:Build,Private,For Profit,501-1000,Venture - Series Unknown,2024-08-14,2020-01-01,year,Active,4.0,3.0,120000000.0,120000000.0,231025000.0,232925000.0,"General Catalyst, US Department of Energy",2.0,"Greater Boston Area, East Coast, New England","Manufacturing, Science and Engineering","Industrial, Industrial Automation, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Framingham, Massachusetts, United States"
Unstructured Technologies,Private,For Profit,11-50,Series B,2024-03-14,2022-01-01,year,Active,1.0,3.0,40000000.0,40000000.0,65000000.0,65000000.0,"Menlo Ventures, Alumni Ventures, M12 - Microsoft's Venture Fund, Madrona, NVentures",18.0,"West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Open Source","Rocklin, California, United States"
Ambercycle,Private,For Profit,11-50,Debt Financing,2024-08-13,2015-01-01,year,Active,2.0,6.0,10000000.0,5000000.0,26600000.0,38075000.0,"National Science Foundation, Zalando, Temasek Holdings, KIRKBI, Shinkong Synthetic Fibers",8.0,"Greater Los Angeles Area, West Coast, Western US","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing","Apparel, E-Commerce, Fashion, Textiles","Los Angeles, California, United States"
Pipedrive,Private,For Profit,501-1000,Series C,2018-10-10,2010-06-21,day,Active,5.0,8.0,10000000.0,10000000.0,90203108.0,90203108.0,"Insight Partners, Bessemer Venture Partners, Storm Ventures, DTCP, Atomico",19.0,"Greater New York Area, East Coast, Northeastern US","Information Technology, Sales and Marketing, Software","CRM, Marketing Automation, SaaS, Sales Automation, Software","New York, New York, United States"
Bitso,Private,For Profit,501-1000,Series C,2021-05-05,2014-01-04,day,Active,3.0,6.0,250000000.0,250000000.0,314500000.0,314500000.0,"Tiger Global Management, Digital Currency Group, Bond, Endeavor Catalyst, Kaszek",23.0,Latin America,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services, FinTech","Mexico City, Distrito Federal, Mexico"
Mosaic,Private,For Profit,101-250,Private Equity,2016-08-24,2011-01-01,year,Active,4.0,14.0,40000000.0,40000000.0,285173747.0,489220772.0,"Warburg Pincus, Verizon, US Department of Energy, DZ BANK, Obvious Ventures",18.0,"San Francisco Bay Area, West Coast, Western US","Energy, Financial Services, Natural Resources, Real Estate, Sustainability","Clean Energy, Energy, Finance, Home Improvement, Solar","Oakland, California, United States"
Arcee.ai,Private,For Profit,1-10,Series A,2024-07-18,2023-02-01,month,Active,3.0,2.0,24000000.0,24000000.0,29500000.0,29500000.0,"Emergence, Long Journey Ventures, Centre Street Partners, AIN Ventures, WndrCo",11.0,"Greater Miami Area, East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Intelligent Systems, Machine Learning","Miami, Florida, United States"
BrightSpeed,Private,For Profit,1001-5000,Private Equity,2024-08-13,2021-01-01,year,Active,2.0,4.0,3700000000.0,3700000000.0,4200000000.0,4234500000.0,"Apollo, Mubadala, North Carolina Department of Information Technology, N.C. Division of Broadband & Digital Equity",4.0,"East Coast, Southern US","Hardware, Internet Services, Mobile","Internet, Telecommunications, Wireless","Charlotte, North Carolina, United States"
Firefly Aerospace,Private,For Profit,501-1000,Series C,2023-11-10,2014-01-01,year,Active,6.0,9.0,300000000.0,300000000.0,471557023.0,571557023.0,"SeedInvest, AE Industrial Partners, XBTO Group, Dylan Taylor, Mitsui & Co.",14.0,Southern US,"Hardware, Science and Engineering, Transportation","Aerospace, Air Transportation, Satellite Communication","Cedar Park, Texas, United States"
StubHub,Private,For Profit,1001-5000,Venture - Series Unknown,2021-12-23,2000-01-01,year,Active,2.0,7.0,39631046.0,39631046.0,59231046.0,59231046.0,"Allen & Company, Viagogo, Stephens Group, Digital Fuel Capital, Warner Media",12.0,"San Francisco Bay Area, West Coast, Western US","Commerce and Shopping, Events, Media and Entertainment","E-Commerce, Marketplace, Ticketing","San Francisco, California, United States"
OneTrust,Private,For Profit,1001-5000,Secondary Market,2023-08-11,2016-01-01,year,Active,1.0,7.0,0.0,150000000.0,1120000000.0,1120000000.0,"Insight Partners, Franklin Templeton, TCV, Sands Capital Ventures, Coatue",9.0,"Greater Atlanta Area, East Coast, Southern US","Data and Analytics, Information Technology, Privacy and Security, Professional Services, Software","Compliance, Cyber Security, Data Governance, Information Technology, Risk Management, Software","Atlanta, Georgia, United States"
Helicap,Private,For Profit,11-50,Series B,2024-08-29,2018-01-01,year,Active,4.0,5.0,4300000.0,4300000.0,25800000.0,25800000.0,"Tikehau Capital, East Ventures, Saison Capital, Soilbuild Group Holdings, Access Ventures",10.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Financial Services,"Finance, Financial Services, FinTech, Lending","Singapore, Central Region, Singapore"
Flutterwave,Private,For Profit,251-500,Secondary Market,2023-03-07,2016-01-01,year,Active,2.0,13.0,0.0,250000000.0,509480000.0,509530000.0,"Y Combinator, Visa, Soma Capital, Mastercard, Insight Partners",56.0,"San Francisco Bay Area, West Coast, Western US","Financial Services, Payments","Financial Services, FinTech, Payments","San Francisco, California, United States"
Krutrim,Private,For Profit,101-250,Series A,2024-01-26,2023-01-01,year,Active,1.0,2.0,50000000.0,50000000.0,50000000.0,74000000.0,"Matrix Partners India, Bhavish Aggarwal",2.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Infrastructure","Bangalore, Karnataka, India"
Unacademy,Private,For Profit,1001-5000,Series H,2021-08-01,2015-01-01,year,Active,4.0,12.0,440000000.0,440000000.0,788500000.0,838500000.0,"Meta, Sequoia Capital, Blume Ventures, Elevation Capital, Nexus Venture Partners",43.0,Asia-Pacific (APAC),"Education, Software","E-Learning, EdTech, Education, Training","Bangalore, Karnataka, India"
Livpure,Private,For Profit,501-1000,Venture - Series Unknown,2024-08-21,2012-11-18,day,Active,3.0,2.0,27768543.0,27768543.0,43768543.0,43768543.0,"M&G Investments, Multiples, CLSA Capital Partners, Ncubate Capital Partners",4.0,Asia-Pacific (APAC),"Consumer Electronics, Hardware, Manufacturing, Natural Resources, Sustainability","Consumer Electronics, Manufacturing, Water, Water Purification","Haryana, Haryana, India"
Events.com,Private,For Profit,51-100,Venture - Series Unknown,2023-06-14,2010-01-01,year,Active,2.0,11.0,8124634.0,8124634.0,66921905.0,166921905.0,"TomorrowVentures, Burch Creative Capital, The Global Emerging Markets Group, Moore Venture Partners, Andrew Mitchell",13.0,"Greater San Diego Area, West Coast, Western US","Advertising, Events, Media and Entertainment, Sales and Marketing, Software","Developer APIs, Event Management, Events, Mobile Advertising, PaaS, SaaS, Software, Ticketing","La Jolla, California, United States"
PathAI,Private,For Profit,251-500,Debt Financing,2022-01-01,2016-01-01,year,Active,2.0,6.0,100000000.0,165000000.0,255200000.0,355200000.0,"Bristol-Myers Squibb, LabCorp, General Catalyst, Kaiser Permanente, 8VC",19.0,"Greater Boston Area, East Coast, New England","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics","Boston, Massachusetts, United States"
Domino Data Lab,Private,For Profit,251-500,Series F,2022-06-15,2013-01-01,year,Active,3.0,9.0,0.0,0.0,223600000.0,223600000.0,"NVIDIA, Sequoia Capital, Coatue, Bloomberg Beta, Slow Ventures",15.0,"San Francisco Bay Area, West Coast, Western US","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Data Mining, Enterprise Applications, Enterprise Software, Machine Learning, Software","San Francisco, California, United States"
Qonto,Private,For Profit,1001-5000,Venture - Series Unknown,2022-08-01,2016-04-01,month,Active,2.0,8.0,200000.0,200000.0,709527559.0,709527559.0,"Kohlberg Kravis Roberts, Tencent, Eurazeo, European Investment Bank, Insight Partners",21.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments, Payments, Software","Banking, Financial Services, FinTech, Payments, Software","Paris, Ile-de-France, France"
FullStory,Private,For Profit,251-500,Venture - Series Unknown,2022-08-10,2014-01-01,year,Active,3.0,7.0,25000000.0,25000000.0,197197854.0,197197854.0,"Google Ventures, Kleiner Perkins, Permira, Stripes, Salesforce Ventures",8.0,"Greater Atlanta Area, East Coast, Southern US","Data and Analytics, Information Technology, Sales and Marketing, Software","Analytics, Business Intelligence, CRM, SaaS","Atlanta, Georgia, United States"
Talkiatry,Private,For Profit,251-500,Series C,2024-06-18,2019-01-01,year,Active,2.0,5.0,130000000.0,130000000.0,242000000.0,242000000.0,"Andreessen Horowitz, Left Lane Capital, Perceptive Advisors, Banc of California, GreyMatter",11.0,"Greater New York Area, East Coast, Northeastern US","Health Care, Mobile","Health Care, Medical, Mental Health, mHealth, Wellness","New York, New York, United States"
Midi Health,Private,For Profit,11-50,Series B,2024-04-24,2021-01-01,year,Active,2.0,3.0,60000000.0,60000000.0,99000000.0,99000000.0,"Google Ventures, City Light Capital, Felicis, Memorial Hermann Foundation, G9 Ventures",21.0,"San Francisco Bay Area, Silicon Valley, West Coast","Community and Lifestyle, Health Care","Health Care, Medical, Therapeutics, Women's","Menlo Park, California, United States"
FGS Global,Private,For Profit,1001-5000,Private Equity,2023-10-17,1994-01-01,year,Active,1.0,4.0,6457856.0,6457856.0,62387304.0,62387304.0,Kohlberg Kravis Roberts,1.0,"Greater New York Area, East Coast, Northeastern US","Data and Analytics, Professional Services, Sales and Marketing","Business Intelligence, Consulting, Public Relations","New York, New York, United States"
Skylo,Private,For Profit,51-100,Series C,2024-02-13,2017-01-01,year,Active,4.0,3.0,37000000.0,37000000.0,153000000.0,153000000.0,"SoftBank, Intel Capital, DCM Ventures, Samsung Catalyst Fund, Moore Strategic Ventures",9.0,"San Francisco Bay Area, Silicon Valley, West Coast","Hardware, Information Technology, Internet Services, Mobile","Information Technology, Internet of Things, Satellite Communication, Telecommunications, Wireless","Mountain View, California, United States"
Flock Safety,Private,For Profit,501-1000,Series E,2022-02-15,2017-01-01,year,Active,2.0,7.0,150000000.0,150000000.0,380584142.0,380584142.0,"Andreessen Horowitz, Y Combinator, Tiger Global Management, Founders Fund, Matrix",13.0,"Greater Atlanta Area, East Coast, Southern US","Government and Military, Hardware, Manufacturing, Privacy and Security","Manufacturing, Public Safety, Security, Sensor","Atlanta, Georgia, United States"
Meltwater,Private,For Profit,1001-5000,Private Equity,2023-12-18,2001-01-01,year,Active,2.0,4.0,65000000.0,65000000.0,240000000.0,300000000.0,"Vista Equity Partners, Vector Capital, Silicon Valley Bank, Altor, Verdane",5.0,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Data Integration, Public Relations, SaaS, Social Media, Social Media Management, Software","Oslo, Oslo, Norway"
Nutrabay,Private,For Profit,51-100,Series A,2024-09-02,2017-01-01,year,Active,3.0,1.0,5000000.0,5000000.0,5000000.0,5000000.0,"RPSG Capital Ventures, Kotak Alternate Asset Managers",2.0,Asia-Pacific (APAC),"Commerce and Shopping, Health Care, Sports","E-Commerce, Fitness, Health Care, Wellness","New Delhi, Delhi, India"
Axonius,Private,For Profit,501-1000,Series E,2024-03-05,2017-01-01,year,Active,3.0,8.0,200000000.0,200000000.0,595000000.0,865000000.0,"Accel, Lightspeed Venture Partners, Vertex Ventures, Bessemer Venture Partners, ICONIQ Growth",18.0,"Greater New York Area, East Coast, Northeastern US","Financial Services, Information Technology, Privacy and Security","Asset Management, Cloud Security, Cyber Security, Information Technology, Network Security","New York, New York, United States"
Haveli Investments,Private,For Profit,11-50,Private Equity,2022-10-11,2021-01-01,year,Active,1.0,1.0,500000000.0,500000000.0,500000000.0,500000000.0,Apollo,1.0,Southern US,Financial Services,Financial Services,"Austin, Texas, United States"
HackerOne,Private,For Profit,251-500,Series E,2022-01-27,2012-01-01,year,Active,4.0,5.0,49000000.0,49000000.0,159400000.0,159400000.0,"Dragoneer Investment Group, New Enterprise Associates, Benchmark, Valor Equity Partners, GP Bullhound",13.0,"San Francisco Bay Area, West Coast, Western US","Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security","Computer, Internet, Network Security","San Francisco, California, United States"
MD Ally,Private,For Profit,11-50,Series A,2024-08-13,2018-01-01,year,Active,1.0,5.0,14000000.0,14000000.0,24500000.0,24500000.0,"General Catalyst, Alumni Ventures, Frist Cressey Ventures, Seae Ventures, Techstars Ventures",7.0,"Greater New York Area, East Coast, Northeastern US","Health Care, Mobile","Emergency Medicine, Health Care, mHealth, Telehealth","New York, New York, United States"
Scorpion Therapeutics,Private,For Profit,11-50,Series C,2024-07-16,2020-01-01,year,Active,4.0,3.0,150000000.0,150000000.0,420000000.0,420000000.0,"Fidelity, Wellington Management, OrbiMed, Lightspeed Venture Partners, Invus",21.0,"Greater Boston Area, East Coast, New England","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Life Science, Oncology, Precision Medicine","Boston, Massachusetts, United States"
Generate Capital,Private,For Profit,101-250,Private Equity,2024-01-31,2014-01-01,month,Active,3.0,6.0,1500000000.0,1500000000.0,5927611356.0,5927611356.0,"Wellcome Trust, CBRE Investment Management, Railways Pension Scheme, AustralianSuper, QIC",12.0,"San Francisco Bay Area, West Coast, Western US","Energy, Natural Resources, Sustainability","Renewable Energy, Solar, Sustainability","San Francisco, California, United States"
greytHR,Private,For Profit,10001+,Series D,2021-11-23,1994-01-01,year,Active,2.0,4.0,6957946.0,6957946.0,17041847.0,17041847.0,"Info Edge, Blume Ventures, New Enterprise Associates, MegaDelta Capital",4.0,Asia-Pacific (APAC),"Administrative Services, Software","Human Resources, SaaS, Software","Bangalore, Karnataka, India"
VRGL,Private,For Profit,11-50,Venture - Series Unknown,2024-08-29,2021-01-01,year,Active,2.0,2.0,5999974.0,5999974.0,20999974.0,20999974.0,"Dynasty Financial Partners, Compound, Fin Capital, FINTOP Capital, Northwestern Mutual Future Ventures",9.0,"Dallas/Fort Worth Metroplex, Southern US","Data and Analytics, Financial Services, Information Technology, Media and Entertainment, Professional Services, Software","Advice, Analytics, Consulting, Information Services, SaaS, Wealth Management","Dallas, Texas, United States"
Otter.ai,Private,For Profit,101-250,Series B,2021-02-25,2016-02-01,month,Active,2.0,3.0,50000000.0,50000000.0,63000000.0,63000000.0,"500 Global, Bridgewater Associates, Notable Capital, Fusion Fund, Horizons Ventures",19.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Collaboration, Consumer Software, Enterprise Software, Information Technology","Mountain View, California, United States"
Resal,Private,For Profit,51-100,Series A,2024-08-18,2016-10-01,month,Active,2.0,5.0,9000000.0,9000000.0,12325000.0,12325000.0,"Ad Diriyah Asset Management, VentureSouq, Derayah Venture Capital, Derayah Financial, Bugshan Investment",9.0,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Commerce and Shopping, Financial Services, Payments, Sales and Marketing","FinTech, Gift Card, Loyalty Programs, Payments","Jeddah, Makkah, Saudi Arabia"
DataStax,Private,For Profit,501-1000,Venture - Series Unknown,2022-06-15,2010-03-31,day,Active,2.0,10.0,115000000.0,115000000.0,342571788.0,342571788.0,"Sequoia Capital, Rackspace, Lightspeed Venture Partners, Scale Venture Partners, EDBI",24.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Management, Information Technology, Open Source, Software","Santa Clara, California, United States"
Pienso,Private,For Profit,1-10,Series A,2024-03-12,2016-05-01,month,Active,2.0,7.0,10000000.0,10000000.0,17017854.0,17017854.0,"Alumni Ventures, Eniac Ventures, The E14 Fund, Good Growth Capital, Indicator Ventures",15.0,"Washington DC Metro Area, East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Generative AI, Machine Learning, Software","Arlington, Virginia, United States"
The Hosteller,Private,For Profit,501-1000,Series A,2024-09-04,2015-01-01,year,Active,2.0,5.0,3810061.0,3810061.0,4900061.0,4900061.0,"Merlin Marketing, Unit E Consulting, JITO Angel Network, Faad Network, AngelList India",13.0,Asia-Pacific (APAC),Travel and Tourism,"Hospitality, Hotel, Travel, Travel Accommodations","Mumbai, Maharashtra, India"
Axiad,Private,For Profit,51-100,Private Equity,2024-07-30,2010-01-01,year,Active,2.0,2.0,25000000.0,25000000.0,45000000.0,45000000.0,Invictus Growth Partners,1.0,"San Francisco Bay Area, Silicon Valley, West Coast","Information Technology, Privacy and Security, Software","Cyber Security, Identity Management, Network Security, Software","Santa Clara, California, United States"
MoEngage,Private,For Profit,501-1000,Series E,2022-06-01,2014-07-01,month,Active,2.0,12.0,77000000.0,77000000.0,209969926.0,209969926.0,"Matrix Partners India, F-Prime Capital, Titan Capital, VenturEast, B Capital",17.0,"San Francisco Bay Area, West Coast, Western US","Data and Analytics, Information Technology, Sales and Marketing, Software","Analytics, Digital Marketing, Information Technology, Marketing Automation, SaaS","San Francisco, California, United States"
Clumio,Private,For Profit,101-250,Series D,2024-02-21,2017-01-01,year,Active,4.0,4.0,75000000.0,75000000.0,261000000.0,261000000.0,"Sutter Hill Ventures, Index Ventures, Human Capital, NewView Capital, Altimeter Capital",7.0,"San Francisco Bay Area, Silicon Valley, West Coast","Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Cloud Security, Computer, SaaS, Software","Santa Clara, California, United States"
Mayo Clinic,Private,Non-profit,10001+,Grant,2023-07-26,1919-01-01,year,Active,7.0,7.0,0.0,0.0,0.0,386100000.0,"National Institutes of Health, American Heart Association, U.S. Department of Defense, Jay Alix",4.0,"Great Lakes, Midwestern US","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Hospital, Medical, Wellness","Rochester, Minnesota, United States"
Tabnine,Private,For Profit,51-100,Series B,2023-11-08,2013-01-01,year,Active,2.0,7.0,25000000.0,25000000.0,57050000.0,57050000.0,"Khosla Ventures, OurCrowd, Atlassian Ventures, Qualcomm Ventures, Titanium Ventures",11.0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Developer Tools, Generative AI, SaaS, Search Engine, Software","Tel Aviv, Tel Aviv, Israel"
Loop,Private,For Profit,101-250,Series B,2023-01-12,2017-01-01,year,Active,7.0,5.0,50000000.0,50000000.0,125450000.0,125450000.0,"Shopify, CRV, Ridge Ventures, Harmony Partners, M25",9.0,"Great Lakes, Midwestern US","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing, Software","Advertising, E-Commerce, E-Commerce Platforms, Internet, Software","Columbus, Ohio, United States"
SoundCloud,Private,For Profit,251-500,Corporate Round,2020-02-11,2007-01-01,year,Active,2.0,10.0,75000000.0,75000000.0,437820688.0,542820688.0,"Ares Capital Corporation, Eniac Ventures, Union Square Ventures, Index Ventures, Notable Capital",18.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Internet Services, Media and Entertainment, Music and Audio, Software","Apps, Audio, Audio Recording and Production, Independent Music, Music, Music Streaming","Berlin, Berlin, Germany"
Productboard,Private,For Profit,251-500,Series D,2022-02-02,2014-04-04,day,Active,2.0,8.0,125000000.0,125000000.0,261300000.0,261700000.0,"Sequoia Capital, Dragoneer Investment Group, Index Ventures, Bessemer Venture Partners, Tiger Global Management",15.0,"San Francisco Bay Area, West Coast, Western US","Data and Analytics, Design, Other, Software","Consumer Research, Product Management, Product Research, Software","San Francisco, California, United States"
10X Banking,Private,For Profit,501-1000,Venture - Series Unknown,2024-01-15,2016-01-01,year,Active,2.0,4.0,44504575.0,44504575.0,297008305.0,297008305.0,"BlackRock, JP Morgan Chase, Nationwide Building Society, Westpac, CPP Investments",7.0,"Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments, Software","Banking, Financial Services, FinTech, SaaS, Software","London, England, United Kingdom"
Labelbox,Private,For Profit,101-250,Series D,2022-01-06,2018-01-01,year,Active,3.0,6.0,110000000.0,110000000.0,188900000.0,188900000.0,"Andreessen Horowitz, Titan Capital, First Round Capital, Gradient Ventures, B Capital",13.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Enterprise Software, Machine Learning, Software","San Francisco, California, United States"
Kymeta,Private,For Profit,101-250,Venture - Series Unknown,2024-09-05,2012-01-01,year,Active,2.0,9.0,20000000.0,20000000.0,436776847.0,436776847.0,"Trinity Capital, Hanwha Systems, Kresge Foundation, Lux Capital, Liberty Global",11.0,"Greater Seattle Area, West Coast, Western US","Hardware, Mobile","Hardware, Mobile, Satellite Communication, Telecommunications","Redmond, Washington, United States"
Recogni,Private,For Profit,51-100,Series C,2024-02-20,2017-11-01,month,Active,5.0,5.0,102000000.0,102000000.0,175900000.0,176050000.0,"Forvia, GreatPoint Ventures, Toyota Ventures, Plug and Play, Continental",16.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Autonomous Vehicles, Semiconductor, Software","San Jose, California, United States"
Yellow.ai,Private,For Profit,501-1000,Series C,2021-08-04,2016-01-22,day,Active,3.0,5.0,78150000.0,78150000.0,102150000.0,102150000.0,"Titan Capital, Lightspeed Venture Partners, WestBridge Capital, Sapphire Ventures, Salesforce Ventures",7.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Enterprise Software, Generative AI, Information Technology, Software","San Mateo, California, United States"
BillionToOne,Private,For Profit,101-250,Series D,2024-06-21,2016-01-01,year,Active,3.0,9.0,130000000.0,130000000.0,390900000.0,425900000.0,"Y Combinator, 500 Global, Neuberger Berman, UpHonest Capital, Baillie Gifford",28.0,"San Francisco Bay Area, Silicon Valley, West Coast","Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Health Diagnostics, Medical","Menlo Park, California, United States"
ClearBank,Private,For Profit,501-1000,Private Equity,2022-03-18,2015-01-01,year,Active,2.0,6.0,230685069.0,230685069.0,516399799.0,627412880.0,"NatWest Group, CFFI Ventures, Apax Digital, Northern Private Capital (NPC), PPF Group",7.0,"Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments, Payments","Banking, Financial Services, FinTech, Payments","Bristol, Bristol, City of, United Kingdom"
Auki Labs,Private,For Profit,1-10,Seed,2022-02-28,2020-04-01,day,Active,2.0,2.0,13000000.0,13000000.0,13250000.0,13250000.0,"Animoca Brands, Outlier Ventures, Kenetic, Primal Capital, Shima Capital",7.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Media and Entertainment, Other, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Blockchain, Cryptocurrency, Metaverse","Kowloon City, Kowloon, Hong Kong"
Horizon3.ai,Private,For Profit,101-250,Series C,2023-08-08,2019-10-11,day,Active,2.0,4.0,40000000.0,40000000.0,78500000.0,78500000.0,"SignalFire, Craft Ventures, Ridge Ventures",3.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Enterprise Software, Machine Learning, Network Security","San Francisco, California, United States"
Waymo,Private,For Profit,1001-5000,Corporate Round,2024-07-23,2009-01-17,day,Active,2.0,4.0,5000000000.0,5000000000.0,10500000000.0,10500000000.0,"Fidelity, Silver Lake, Andreessen Horowitz, CPP Investments, Magna International",12.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Sensor, Software, Transportation","Mountain View, California, United States"
AuditBoard,Private,For Profit,501-1000,Series B,2018-08-15,2014-01-01,year,Active,2.0,3.0,40000000.0,40000000.0,43610000.0,43610000.0,"Mucker Capital, Act One Ventures, Battery Ventures, Wavemaker Partners",4.0,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Internet Services, Other, Professional Services, Software","Cloud Data Services, Compliance, Customer Service, Information Technology, SaaS","Cerritos, California, United States"
MobiKwik,Private,For Profit,501-1000,Debt Financing,2024-03-28,2009-08-15,day,Active,3.0,20.0,5995603.0,20415002.0,148740801.0,183435786.0,"BlackSoil, Brand Capital, InnoVen Capital, Trifecta Capital Advisors, Orios Venture Partners",35.0,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Mobile, Payments, Software","Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments","Gurgaon, Haryana, India"
SmartRecruiters,Private,For Profit,501-1000,Series E,2021-07-20,2010-01-01,year,Active,1.0,6.0,110000000.0,110000000.0,225009956.0,225009956.0,"Insight Partners, Mayfield Fund, Salesforce Ventures, Acadian Ventures, Silver Lake Waterman",11.0,"San Francisco Bay Area, West Coast, Western US","Administrative Services, Professional Services, Software","Enterprise Software, Human Resources, Recruiting, SaaS, Social Recruiting","San Francisco, California, United States"
BabylonChain,Private,For Profit,11-50,Venture - Series Unknown,2024-05-30,2022-01-01,month,Active,2.0,4.0,70000000.0,70000000.0,103000000.0,103000000.0,"Polychain, Alumni Ventures, OKX Ventures, Galaxy Digital, Amber Group",48.0,"San Francisco Bay Area, Silicon Valley, West Coast","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Web3","Palo Alto, California, United States"
Spotnana,Private,For Profit,251-500,Series B,2022-07-26,2020-01-01,year,Active,2.0,3.0,75000000.0,75000000.0,116000000.0,116000000.0,"ICONIQ Growth, 8VC, Madrona, Gokul Rajaram, Scott Belsky",16.0,"Greater New York Area, East Coast, Northeastern US","Information Technology, Internet Services, Software, Travel and Tourism","Business Travel, Cloud Data Services, Information Technology, SaaS","New York, New York, United States"
